,"mature.neutrophil","CD14.pos.CD16.neg.classical.monocyte","macrophage","memory.CD4.pos.AB.T.cell","cytotoxic.CD56.dim.NK.cell"
"A1BG",35.2886975033,212.8534204494,284.2903857655,295.6328643511,48.1285988953
"A2M",7.0590964019,18.2650526326,4283.1670586234,22.2830646401,29.084012166
"AAAS",109.9791884017,135.7950699072,175.3158971331,156.2319498466,158.7539220651
"AACS",56.2206768727,47.9686523779,49.5820844471,48.3888611311,61.6903469465
"AAGAB",151.1158025301,158.8540379889,165.2894089923,216.2000940345,293.9633911852
"AAK1",217.7047275701,172.3076930602,141.5622205784,519.877495496,393.520573208
"AAMP",149.7189756161,551.7560117515,455.7332497653,454.105693633,615.9144856131
"AARS",39.3945271077,90.2897949116,1170.9330847409,201.5019747854,251.1348209522
"AARS2",33.4928265017,48.2351014121,47.7844907285,62.3828135902,61.041068299
"AARSD1",28.9762029207,90.8508748611,95.1523792115,225.258194845,161.121082364
"AASDH",64.1199083216,62.867666576,56.0194095863,75.9451854638,74.5337089422
"AASDHPPT",100.6613919988,102.8846651674,140.2189709459,131.0099706669,164.5293067014
"AASS",14.2465279708,17.9000941931,11.4552225299,27.8641305392,33.4264489812
"AATF",442.0785872615,382.3342780068,249.9703724751,655.7295502763,709.4078712793
"AATK",594.4830539673,55.7660671511,25.1657649684,18.1852663915,41.739833157
"ABAT",245.6620146114,94.137756345,43.8885852842,36.5687655193,51.8030351216
"ABCA1",524.4910113182,161.8049296899,652.7419755388,30.7104886211,19.7089043656
"ABCA11P",39.8104728212,15.110307352,22.1540374745,37.5405282908,31.4081238067
"ABCA13",103.4691782857,17.7916740363,10.2781049582,7.98613263,11.4000864773
"ABCA2",244.0163293378,50.0216336165,49.7292059532,229.5520127196,581.4252050457
"ABCA3",14.7571342197,19.199136278,27.9063831571,40.3373641016,46.04892823
"ABCA5",163.1302377476,44.6924406609,73.4058531174,123.9958599004,101.0475073234
"ABCA6",27.7307436624,37.6075006544,31.6794127786,18.2707113211,22.3609716712
"ABCA7",1240.3548634502,291.30329678,80.7862989213,670.194541142,280.3269629185
"ABCB1",16.0037817765,17.6688520155,16.2160604573,132.567765657,557.529927964
"ABCB10",50.3167407229,117.7373444934,168.2732612808,90.2897949116,100.0423505291
"ABCB4",7.0590964019,18.2999002583,40.3373641016,7.98613263,20.6347640428
"ABCB6",54.1956533264,31.1677076055,26.5436006901,27.7035520709,32.0095456497
"ABCB7",55.7660671511,218.4571834494,171.641436073,156.9114470105,129.8119716771
"ABCB8",54.0666843592,79.4143659812,211.5475554643,167.4161577757,118.6442974596
"ABCB9",30.5100296963,21.8384568733,55.495044447,36.3279383946,28.7157013019
"ABCC1",129.1121099662,147.0801411394,161.5683616925,202.0308893888,63.0970744777
"ABCC10",76.4114247063,94.3908550466,88.5676070402,149.4783748757,134.6180526454
"ABCC2",80.9055203434,24.0431184654,13.5526902663,24.8322206257,24.0054508221
"ABCC3",18.2326960242,89.3928817836,215.3707656169,20.0659749982,13.971470204
"ABCC4",17.4062591305,41.0158450886,34.1061901141,51.9833732263,46.8424236421
"ABCC5",332.6726614696,105.3166399719,210.1822673195,95.6698016769,99.1702997181
"ABCC6",62.315828939,62.7153793707,30.9111852666,11.9057342834,7.7347667759
"ABCD1",135.2640011178,126.6868429688,250.6315674912,48.8482100043,64.1450329991
"ABCD2",10.796866583,12.8065949927,12.3255215002,125.0507976239,30.602915651
"ABCD3",74.2019794334,150.5807145806,199.1222841479,103.5774976047,154.2647783405
"ABCD4",130.2367826633,180.0320225284,197.7177778082,293.530347203,259.0958610576
"ABCE1",29.2085497646,185.337782867,337.4042511527,360.7464113689,232.1341137466
"ABCF1",159.3870280149,333.6745503763,242.0853035187,253.3616076165,400.2927132693
"ABCF2",58.1355259386,129.0292642851,120.2267858737,242.2852216571,167.1186364873
"ABCF3",308.1645642046,245.6620146114,263.292958373,417.5672134089,346.6012290089
"ABCG1",334.8304161734,53.1755155393,137.39017142,111.462159112,51.9833732263
"ABCG2",13.723083315,8.2546882701,74.3840255524,32.3442346321,28.5345944254
"ABHD1",25.7502371713,17.0655268566,13.6961602365,20.0472151434,23.3674679748
"ABHD10",61.9590421401,134.7646741246,298.033311378,145.8992099733,103.6422586958
"ABHD11",146.704295886,73.0610760175,59.2580532989,55.7419519735,63.2913576068
"ABHD12",54.2427760194,164.9920616652,872.1247426763,144.5513175315,194.7334444288
"ABHD13",253.0083539135,158.0559402255,86.2645926025,209.1956149871,132.8619816555
"ABHD14A",12.6467750061,41.3988002338,43.4650564398,164.9323381042,164.6864789564
"ABHD14B",24.8614305932,143.1507268706,250.2087241917,541.2202727758,247.7700451975
"ABHD15",18.224352216,57.5495182841,69.0901157856,87.0406009921,235.0845605015
"ABHD2",2346.7922615634,568.5747356338,677.1964280258,142.5437528507,542.5498140335
"ABHD3",1083.1985633729,271.6707356728,174.8270859617,273.7093620719,229.7968709174
"ABHD4",320.5189755919,53.3713825373,110.754921154,45.5797097922,75.4326162581
