"Symbol","Neutrophils","Monocytes_CD14+CD16-","Macrophage","T_cells_(CD4+)","NK_cells"
"A1BG",75,161.875,115.9090909,100.1363636,122.75
"A1CF",34.8,43.6875,38.54545455,39.04545455,32.91666667
"A2BP1",40.8,42.625,34.36363636,31.90909091,33.16666667
"A2LD1",35.4,57.5,69.81818182,42.04545455,58.58333333
"A2M",23,33.4375,5796,32.86363636,16.16666667
"A2ML1",15.2,13.75,14.09090909,12.86363636,14.33333333
"A4GALT",168,107.4375,140.8181818,86.72727273,112
"A4GNT",26.6,30.9375,25.09090909,29.13636364,30.25
"AAA1",28,36.375,24.18181818,28.22727273,24.16666667
"AAAS",190.4,263.625,209.4545455,224.3181818,80.16666667
"AACS",96,102.25,163.9090909,144.4090909,208.25
"AACSL",18.4,13.5625,11.81818182,11.54545455,10.91666667
"AADAC",44.4,38.375,30.72727273,30.18181818,24.08333333
"AADACL2",10.8,10.4375,9.636363636,9.727272727,9.833333333
"AADAT",22.4,23.5,19.54545455,20.40909091,23.83333333
"AAGAB",114.4,112,95.45454545,95.09090909,258.5833333
"AAK1",126.6,93.4375,70.63636364,139.5454545,77.83333333
"AAMP",175,430.875,402.1818182,315.9545455,332.0833333
"AANAT",16.4,18,21.36363636,14.90909091,19.08333333
"AARS",118.2,273.3125,557,427.2727273,124.0833333
"AARS2",91.6,102.4375,118.7272727,113.0909091,110.6666667
"AARSD1",46.2,124.5625,103.0909091,130.2272727,171.1666667
"AASDH",69.6,336.625,164.5454545,262.4545455,320.6666667
"AASDHPPT",164.2,445,388.2727273,348.2272727,660.5833333
"AASS",13.2,12.25,10.54545455,20.18181818,25.25
"AATF",580.8,494.3125,443.9090909,517.6818182,413.6666667
"AATK",269.8,173.0625,127.2727273,81.77272727,151.8333333
"ABAT",449.8,163.3125,228.1818182,103.6363636,96.33333333
"ABCA1",756.8,200.9375,1228.727273,75.40909091,43.58333333
"ABCA11P",21,20.5625,25,57.04545455,22
"ABCA12",8.6,8.5,8.636363636,8.681818182,8.166666667
"ABCA13",8.2,8.1875,7.636363636,10.68181818,7.666666667
"ABCA17P",13.6,12.875,13.90909091,17.45454545,18.33333333
"ABCA2",59.4,49.6875,62.45454545,65.18181818,69.58333333
"ABCA3",110.8,88.8125,81.54545455,90.54545455,155.4166667
