CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
HD30PBMC0	0.027	0.0801	0.2021	0.1915	0.0549	0.1052	0.1877	0.1514
HD30PBMC1	0.0248	0.083	0.2273	0.192	0.0502	0.1116	0.1693	0.1418
HD30PBMC3	0.0212	0.093	0.1808	0.1733	0.0519	0.1298	0.2023	0.1477
HD30PBMC7	0.0304	0.1106	0.1599	0.157	0.0495	0.1112	0.2213	0.1601
HD31PBMC0	0.0281	0.1165	0.1895	0.0975	0.0761	0.1341	0.1879	0.1703
HD31PBMC1	0.0312	0.1155	0.1931	0.0904	0.0688	0.1343	0.208	0.1586
HD31PBMC3	0.0272	0.0968	0.1995	0.1028	0.0603	0.123	0.2164	0.1738
HD31PBMC7	0.0275	0.1029	0.1775	0.1109	0.0571	0.1314	0.2124	0.1803
