naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
HD30PBMC0	0.0465	0	0.3825	0	0.0186	0.1366	0	0.2217	0.1839	0	0	0	0	0	0.0102	0	0	0	0	0
HD30PBMC1	0.0503	0	0.4397	0.0151	0.0059	0.1104	0	0.1831	0.1835	0	0	0	0	0	0.0035	0	0	0	0	0.0084
HD30PBMC3	0.0404	0	0.3272	0	0.0068	0.107	0	0.2935	0.2057	0	0	0	0	0	0.0194	0	0	0	0	0
HD30PBMC7	0.0689	0	0.3022	0	0	0.1112	0	0.2785	0.2136	0	0	0	0	0	0.0221	0	0	0	0	0.0035
HD31PBMC0	0.0736	0	0.394	0	0	0	0.0372	0.3069	0.1776	0	0	0	0	0	0.0107	0	0	0	0	0
HD31PBMC1	0.0826	0	0.375	0	0	0	0.0112	0.3438	0.1587	0	0	0	0	0	0.0286	0	0	0	0	0
HD31PBMC3	0.0559	0	0.3981	0	0	0	0	0.3643	0.1752	0	0	0	0	0	0.0066	0	0	0	0	0
HD31PBMC7	0.0674	0	0.3614	0	0	0.0111	0	0.3586	0.1907	0	0	0	0	0	0.0109	0	0	0	0	0
