Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE
HD30PBMC0	0.0555665238933131	0	0.374311013143536	0	0	0.190941019874304	0	0.314690368353449	0.00767225214055117	0	0	0.042587929375398	0	0.0142308932194494	0	0	0	0	0	0	9999	0.694427728627828	0.732805399845155
HD30PBMC1	0.0564504754428865	0	0.417797946735615	0.0301768451923691	0	0.145942348377264	0	0.263143093532512	0.0120937904322971	0	0	0.046992622976606	0	0.0120524888745016	0	0	0	0	0	0.0153503884359487	9999	0.750645326631141	0.673638880199817
HD30PBMC3	0.0689505456182879	0	0.22083720811813	0.0568921857082814	0	0.146453631232512	0	0.395877654298827	0.0188535553771057	0	0	0.0691538571556263	0	0.0114842330575793	0.0114971294336497	0	0	0	0	0	9999	0.687229764302663	0.742197481808878
HD30PBMC7	0.0842770278268007	0	0.202491231515072	0.061645546041359	0	0.138701433105562	0	0.403030409224243	0.0240586292518702	0	0	0.0706000276540223	0	0.0151956953810704	0	0	0	0	0	0	9999	0.704491512393565	0.729758575611316
HD31PBMC0	0.0985988958963349	0	0.269724795356355	0.0855251941855346	0	0.0320216209796216	0	0.385712340242511	0.0418697695236676	0	0	0.0721490919719105	0	0.014398291844064	0	0	0	0	0	0	9999	0.707585192157181	0.712737702440917
HD31PBMC1	0.0794177411774972	0	0.289057339861024	0.0885727470745811	0	0.0218825168661394	0	0.387333853375316	0.0450747439415911	0	0	0.0754818734018894	0	0.0131791843019617	0	0	0	0	0	0	9999	0.695199710011481	0.721326621921685
HD31PBMC3	0.0769787233256436	0	0.284250646614304	0.0686638840225016	0	0.0498499205983181	0	0.388536029874466	0.0414996244852513	0	0	0.0779310572854741	0	0.0122901137940408	0	0	0	0	0	0	9999	0.68909105365696	0.729412177900581
HD31PBMC7	0.0989226290054712	0	0.245595297710721	0.0787756010690994	0	0.0517319792081814	0	0.399637542595466	0.0405808782262062	0	0	0.0717835571262854	0	0.0129725150585697	0	0	0	0	0	0	9999	0.707568380495809	0.716366935797036
