Monocytes_CD14.CD16.	Dendritic_cells_.BDCA1..	Dendritic_cells_.BDCA3..	Dendritic_cells_.plasmacytoid..	T_cells_.CD4..	T_cells_.CD8..	NK_cells	Neutrophils	B_cells
HD30PBMC0	0.229596141554419	0.0654498932910782	0.0457139785935992	0.0356757585614505	0.211083648894613	0.158156324593996	0.101675039108893	0.0451387468405733	0.107510468561378
HD30PBMC1	0.261218153946201	0.0710820636600797	0.0468602564539219	0.0347345257341056	0.194901847957704	0.141084436554614	0.0954800944734784	0.0497444300946695	0.104894191125225
HD30PBMC3	0.201541862704066	0.0616725886574081	0.0446995764231527	0.0360043785925945	0.238578234277855	0.166629608756313	0.0982087292260699	0.0425386827011852	0.110126338661355
HD30PBMC7	0.194055908302816	0.0613460430890167	0.0459328076922345	0.0393921852149721	0.242663215216271	0.163990559743093	0.0954532488288295	0.0416676434934556	0.115498388419312
HD31PBMC0	0.240943000369644	0.0597404453929491	0.043558068818044	0.0312197840848917	0.210842328733504	0.163996856174688	0.0778320798327033	0.0591483515408581	0.112719085052718
HD31PBMC1	0.231530531620067	0.0605769252211996	0.0447732036211705	0.0319425750354527	0.221113939439896	0.168286897458811	0.0759211572220618	0.0509097396007052	0.114945030780636
HD31PBMC3	0.236854329533428	0.0551175969745773	0.0424734176104303	0.0302870561993205	0.238104414062293	0.165345109009924	0.0768035653891115	0.0456357379283602	0.109378773292555
HD31PBMC7	0.226487859143201	0.0561113868891627	0.0426349067771955	0.031553342079546	0.240914545679873	0.168458662494581	0.0802737197514856	0.0440396085764302	0.109525968608525
