Monocytes_CD14.CD16.,Dendritic_cells_.BDCA1..,Dendritic_cells_.BDCA3..,Dendritic_cells_.plasmacytoid..,T_cells_.CD4..,T_cells_.CD8..,NK_cells,Neutrophils,B_cells
A,0,0.116503432211527,0.125981025614234,0.109666925472779,0.0906203229945484,0,0.17497870716833,0.382249586538581,0
B,0,0.104783436907749,0.136822825121957,0.107325124630446,0.0932330077332762,0,0.174687863956113,0.383147741650458,0
C,0,0,0.148807775943952,0.112444408570773,0.229621445836109,0,0.168511058657355,0.340615310991811,0
D,0,0,0.147092252307228,0.116697693889193,0.231831016368296,0,0.164948735175334,0.339430302259949,0
E,0,0,0.166578248202464,0.109212240803345,0.158836624963327,0,0.210823818999486,0.354549067031378,0
F,0,0.0308952504022438,0.158763504942965,0.109293443422777,0.0430859236226041,0,0.284986474925734,0.372975402683676,0
G,0,0.146842829624108,0.124186337397992,0.0983165551314252,0.0587448260773123,0,0.137667208474254,0.434242243294908,0
H,0.0138697911328582,0.235300582195492,0.0963963122899276,0.0967149898239444,0.0259716806493336,0,0.132324568728882,0.399422075179562,0
I,0.0153856432813944,0.233171952094059,0.100372614699628,0.0966146807505141,0.0236131901760409,0,0.13172521973944,0.399116699258923,0
J,0,0,0.12514577842248,0.128933254534648,0.258779511942811,0,0.16840452056472,0.318736934535342,0
K,0,0,0.130018940360047,0.120286199771386,0.19887995228051,0,0.234721562805008,0.316093344783049,0
L,0,0,0.17711483831857,0.0974730303957497,0.227076815273998,0,0.165853439594976,0.332481876416706,0
