B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
ascites7873R1	0	0.0046	0.1486	0	0.0222	0.021	0.1039	0	0.0692	0	0.0443	0.0193	0.1548	0.1008	0	0.0436	0	0.0272	0.0131	0.0868	0.0422	0.0982
ascites7873R2	0.0012	0.0084	0.1567	0.0038	0.021	0.0263	0.1093	0	0.0563	0	0.0576	0.0234	0.1648	0.0889	0	0.0414	0	0.0254	0.0061	0.089	0.0342	0.0862
ascites7882R1	0	0	0.0437	0	0.0015	0.0164	0.1756	0	0.1043	0	0.1097	0.0294	0.1309	0.0966	0	0.0549	0	0.0254	0.0345	0.0551	0	0.1221
ascites7882R2	0	0.0013	0.058	0	0.0239	0.0291	0.1683	0	0.0816	0	0.0749	0.0389	0.1436	0.1171	0	0.0581	0	0.0422	0.0186	0.0295	0.0059	0.1089
ascites7892R1	0.026	0	0.0199	0.0102	0.0069	0.08	0.2004	0	0.0774	0	0.0691	0.0456	0.108	0.0946	0.0151	0.0513	0	0.0552	0.0097	0.0067	0.0158	0.108
ascites7892R2	0.0067	0	0.0471	0.0123	0.0032	0.0723	0.1806	0	0.0875	0	0.0807	0.0448	0.1162	0.0753	0.0374	0.0423	0	0.0424	0.0106	0.0116	0.0242	0.1047
