Monocytes_CD14.CD16.	Dendritic_cells_.BDCA1..	Dendritic_cells_.BDCA3..	Dendritic_cells_.plasmacytoid..	T_cells_.CD4..	T_cells_.CD8..	NK_cells	Neutrophils	B_cells
HD30PBMC0	0.3234	0.0053	0	0.0239	0.2795	0.082	0.2041	0.0294	0.0524
HD30PBMC1	0.3809	9e-04	0.0057	0.023	0.247	0.0524	0.1985	0.0368	0.0548
HD30PBMC3	0.2729	0.0016	8e-04	0.0259	0.3583	0.0832	0.1727	0.0329	0.0518
HD30PBMC7	0.2429	0.0042	0	0.0382	0.3564	0.0775	0.1673	0.0302	0.0834
HD31PBMC0	0.326	0	0.0034	0.02	0.2722	0.1546	0.0615	0.0672	0.0951
HD31PBMC1	0.318	0	0.0075	0.0249	0.3078	0.1497	0.0436	0.0536	0.0949
HD31PBMC3	0.3343	0	0	0.0152	0.3455	0.1383	0.0631	0.039	0.0646
HD31PBMC7	0.3012	0	0.0044	0.0145	0.3406	0.1454	0.0791	0.0433	0.0715
