Monocytes_CD14.CD16.	Dendritic_cells_.BDCA1..	Dendritic_cells_.BDCA3..	Dendritic_cells_.plasmacytoid..	T_cells_.CD4..	T_cells_.CD8..	NK_cells	Neutrophils	B_cells
ascites7873R1	0.36	0.0396	0.1628	0.1017	0.0218	0.1457	0.029	0.0518	0.0876
ascites7873R2	0.3664	0.0542	0.141	0.0988	0.0303	0.1342	0.0383	0.0527	0.084
ascites7882R1	0.2364	0.0426	0.1825	0.1234	0.0554	0.1268	0.0659	0.0672	0.0997
ascites7882R2	0.2364	0.0365	0.1829	0.1132	0.0575	0.1312	0.0658	0.0657	0.1108
ascites7892R1	0.1535	0.0395	0.191	0.1339	0.0736	0.145	0.0573	0.1037	0.1026
ascites7892R2	0.1671	0.0413	0.1908	0.1254	0.0617	0.1555	0.0531	0.1129	0.0922
