gene_id	LAU125_TPM	LAU125_FPKM	LAU355_TPM	LAU355_FPKM	LAU1255_TPM	LAU1255_FPKM	LAU1314_TPM	LAU1314_FPKM
ENSG00000002919	7.84	5.81	15.4	13.66	7.34	6.78	15.21	13.09
ENSG00000002933	17.48	12.96	18.32	16.25	25.01	23.11	4.67	4.02
ENSG00000003056	72.12	53.5	95.42	84.64	105.36	97.35	120.3	103.58
ENSG00000003096	2.97	2.2	0.25	0.22	0.29	0.27	0.19	0.17
ENSG00000003137	0.08	0.06	0	0	0.12	0.11	0.02	0.01
ENSG00000003147	0.52	0.38	8.99	7.97	6.97	6.44	12.77	11
ENSG00000003249	4.01	2.98	2.19	1.94	11.59	10.71	2.76	2.38
ENSG00000003393	24.04	17.83	7.74	6.87	17.7	16.36	8.45	7.28
ENSG00000003400	1.24	0.92	7.71	6.84	4.39	4.06	6.21	5.35
ENSG00000003402	23.23	17.23	67.55	59.92	65.83	60.83	65.76	56.62
ENSG00000003436	157.69	116.99	2.34	2.08	2.19	2.02	3.25	2.8
ENSG00000003509	15.32	11.36	14.31	12.69	11.48	10.61	19.1	16.45
ENSG00000003756	105.09	77.96	80.67	71.56	60.24	55.66	107.19	92.29
ENSG00000003987	0.72	0.54	0.39	0.35	0.07	0.07	0.47	0.41
ENSG00000003989	1.21	0.89	0.02	0.02	0.01	0.01	0.05	0.04
ENSG00000004059	88.8	65.88	73.2	64.93	66.21	61.18	74.41	64.06
ENSG00000004139	0.62	0.46	0	0	0.06	0.06	0.25	0.21
ENSG00000004142	68.46	50.79	33.45	29.67	21.77	20.12	33.17	28.56
ENSG00000004399	171.6	127.3	16.16	14.34	27.08	25.02	7.9	6.8
ENSG00000004455	213.73	158.56	102.09	90.56	183.11	169.19	111.92	96.37
ENSG00000004468	0.66	0.49	19.43	17.24	26.95	24.9	32.44	27.93
ENSG00000004478	58.99	43.76	17.33	15.37	34.23	31.63	24.52	21.11
ENSG00000004487	95.8	71.07	34.27	30.4	40.2	37.15	51.02	43.93
ENSG00000004534	52.66	39.06	102.54	90.95	45.75	42.27	97.42	83.88
ENSG00000004660	0.86	0.64	2.08	1.84	0.69	0.63	1.96	1.69
ENSG00000004700	22.36	16.59	28.21	25.02	21.92	20.25	41.46	35.7
ENSG00000004766	31.51	23.38	17.59	15.6	10.28	9.5	15.78	13.59
ENSG00000004776	53.51	39.69	0.04	0.04	0.05	0.04	0.02	0.01
ENSG00000004777	0.45	0.34	0.82	0.73	0.64	0.59	0.86	0.74
ENSG00000004779	54.5	40.44	23.77	21.08	40.08	37.03	32.54	28.01
ENSG00000004799	6.5	4.82	2.19	1.95	37.41	34.57	1.22	1.05
ENSG00000004809	0.33	0.24	0.18	0.16	0.11	0.1	0.14	0.12
ENSG00000004838	0.18	0.14	0.28	0.25	0.88	0.81	0.16	0.14
ENSG00000004846	32.22	23.9	0.13	0.11	133.6	123.44	0.19	0.16
ENSG00000004848	0	0	0	0	0.03	0.03	0	0
ENSG00000004864	117.99	87.53	8.77	7.78	18.24	16.85	6.46	5.56
ENSG00000004866	49.15	36.46	7.93	7.04	13.14	12.14	8.58	7.39
ENSG00000004897	61.75	45.81	30.89	27.4	24.65	22.78	37.97	32.69
ENSG00000004939	0.03	0.02	0.1	0.09	0.01	0	0.07	0.06
ENSG00000004948	0	0	0.01	0.01	0.07	0.07	0	0
ENSG00000004961	15.47	11.48	17.42	15.45	10.11	9.34	18.78	16.17
ENSG00000004975	11.75	8.72	8.93	7.92	8.08	7.47	9.27	7.98
