"AGENE","CD56NK","CD4MemoryT","CD19B","CD14"
"CTC-425F1.4",0.0003638569,0.0003498542,0.0002384927,0.0012269939
"CTC-428G20.3",0.0008489994,0.0003498542,0.0009539709,0
"CTC-428G20.6",0,0.0001166181,0.0027426663,0.0016359918
"CTC-428H11.2",0.0010915706,0.0010495627,0.0007154782,0.0012269939
"CTC-429P9.1",0.0001212856,0.0001166181,0.0001192464,0
"CTC-429P9.2",0,0,0,0
"CTC-429P9.4",0.0001212856,0,0,0
"CTC-431G16.2",0.0001212856,0,0,0
"CTC-435M10.3",0.0001212856,0,0,0
"CTC-444N24.11",0.0043662826,0.0057142857,0.00524684,0.0016359918
"CTC-444N24.13",0.0002425713,0.0005830904,0.0001192464,0.000408998
"CTC-444N24.6",0.0004851425,0.0004664723,0.0009539709,0
"CTC-444N24.8",0.0018192844,0.0008163265,0.0007154782,0
"CTC-448D22.1",0.0002425713,0,0.0003577391,0
"CTC-453G23.8",0,0.0001166181,0,0
"CTC-454I21.3",0.0006064281,0.0006997085,0.0001192464,0
"CTC-458I2.2",0,0,0,0
"CTC-459F4.1",0,0.0005830904,0.0005962318,0
"CTC-459F4.3",0.0041237113,0.0064139942,0.00787026,0.0024539877
"CTC-459I6.1",0.0001212856,0.0003498542,0,0
"CTC-461F20.1",0,0.0005830904,0.0002384927,0
"CTC-462L7.1",0.0002425713,0,0.0002384927,0
"CTC-467M3.1",0,0,0.0001192464,0
"CTC-471F3.6",0,0,0.0001192464,0
"CTC-479C5.10",0,0.0001166181,0.0001192464,0.000408998
"CTC-479C5.12",0.0642813827,0.0296209913,0.0345814453,0.0871165644
"CTC-482H14.5",0,0,0.0002384927,0
"CTC-487M23.5",0.0002425713,0,0.0002384927,0
"CTC-487M23.8",0.0013341419,0.0002332362,0.0004769855,0
"CTC-490G23.2",0,0,0,0
"CTC-492K19.4",0.0006064281,0.0001166181,0,0.000408998
"CTC-493L21.2",0,0,0.0001192464,0
"CTC-498J12.3",0.0003638569,0.0001166181,0,0
"CTC-501O10.1",0,0,0,0
"CTC-503J8.4",0.0001212856,0.0001166181,0.0001192464,0
"CTC-503J8.6",0.0084899939,0.0097959184,0.0064393036,0.0106339468
"CTC-505O3.3",0.0001212856,0.0001166181,0,0
"CTC-506B8.1",0,0,0,0
"CTC-507E2.1",0,0.0001166181,0,0
"CTC-508F8.1",0.0003638569,0.0004664723,0.0003577391,0
"CTC-518P12.6",0.0001212856,0,0,0
"CTC-523E23.1",0.0008489994,0,0,0
"CTC-523E23.11",0.0600363857,0.0781341108,0.0298115907,0
"CTC-523E23.4",0.0014554275,0.0005830904,0.0003577391,0
"CTC-523E23.8",0,0,0.0001192464,0
"CTC-524C5.2",0.0190418435,0.0218075802,0.0176484617,0.0065439673
"CTC-527H23.3",0.0001212856,0.0004664723,0,0.0008179959
"CTC-534A2.2",0.0129775622,0.0052478134,0.0029811591,0.0008179959
"CTC-537E7.3",0.0006064281,0,0,0
"CTC-548K16.1",0,0.0002332362,0,0
"CTC-548K16.2",0.0008489994,0.0002332362,0.0003577391,0
"CTC-548K16.5",0.0004851425,0.0001166181,0.0001192464,0.000408998
"CTC-550B14.7",0.00194057,0.0006997085,0.0008347245,0
"CTC-550B14.8",0.0004851425,0,0,0
"CTC-559E9.4",0,0.0001166181,0,0
"CTC-564N23.2",0.0001212856,0,0,0
"CTC-756D1.2",0,0,0,0
"CTC1",0.0082474227,0.0095626822,0.0075125209,0.0012269939
"CTCF",0.0577319588,0.0219241983,0.0352969234,0.0073619632
"CTD-2001C12.1",0.0001212856,0,0.0004769855,0
"CTD-2002J20.1",0,0,0,0
"CTD-2006H14.2",0.0003638569,0.0003498542,0,0
"CTD-2006K23.1",0,0,0,0.0171779141
"CTD-2006K23.2",0,0.0003498542,0.0004769855,0
"CTD-2007H13.3",0.0076409945,0.0011661808,0.0004769855,0.0085889571
"CTD-2007L18.5",0,0,0,0.000408998
"CTD-2008L17.2",0,0,0,0
"CTD-2012J19.3",0.0003638569,0.0002332362,0.0002384927,0.0012269939
"CTD-2012K14.2",0,0,0,0.0008179959
"CTD-2012K14.3",0,0.0001166181,0.0001192464,0.000408998
"CTD-2012K14.6",0.0026682838,0.0020991254,0.0007154782,0.000408998
"CTD-2012K14.7",0.0014554275,0.0025655977,0.0025041736,0.0024539877
"CTD-2013N24.2",0.0006064281,0.0002332362,0,0
"CTD-2014B16.3",0,0,0,0
"CTD-2015H6.3",0,0.0018658892,0,0.0012269939
"CTD-2017C7.1",0.0002425713,0,0,0
"CTD-2017C7.2",0.0001212856,0,0.0005962318,0
"CTD-2017D11.1",0.0023044269,0.0020991254,0.0031004054,0.000408998
"CTD-2020K17.1",0.0107944209,0.0143440233,0.0083472454,0.0159509202
"CTD-2020K17.3",0.0003638569,0.0008163265,0.0003577391,0
"CTD-2020K17.4",0.0057004245,0.0191253644,0.0062008109,0
"CTD-2021H9.3",0.0008489994,0.0011661808,0.0001192464,0
"CTD-2023M8.1",0.0001212856,0.0001166181,0.0001192464,0
"CTD-2024I7.13",0.0001212856,0,0,0
"CTD-2026D20.2",0,0.0001166181,0.0001192464,0
"CTD-2026G6.3",0,0.0001166181,0,0
"CTD-2026K11.2",0.0001212856,0.0001166181,0.0001192464,0
"CTD-2026K11.3",0.0003638569,0,0.0001192464,0
"CTD-2031P19.3",0.0012128563,0.0012827988,0.0005962318,0.0020449898
"CTD-2031P19.5",0,0.0001166181,0,0
"CTD-2033A16.1",0,0,0.0001192464,0
"CTD-2033A16.3",0.0001212856,0.0003498542,0,0
"CTD-2033C11.1",0.0008489994,0,0.0005962318,0
"CTD-2033D15.1",0.0003638569,0,0,0
"CTD-2034I4.2",0.0001212856,0,0.0005962318,0
"CTD-2035E11.3",0.2492419648,0.0813994169,0.0292153589,0.0732106339
"CTD-2035E11.4",0.0013341419,0.0025655977,0.0007154782,0
"CTD-2035E11.5",0.0003638569,0.0006997085,0.0008347245,0
"CTD-2036P10.3",0.0002425713,0,0.0001192464,0
"CTD-2037K23.2",0.0423286841,0.0290379009,0.0288576198,0.0085889571
"CTD-2044J15.1",0,0,0,0
"CTD-2044J15.2",0,0,0.0001192464,0.000408998
"CTD-2047H16.4",0.0001212856,0.0001166181,0,0
"CTD-2054N24.2",0.0003638569,0.0002332362,0.0005962318,0
"CTD-2066L21.3",0.0001212856,0,0,0
"CTD-2072I24.1",0,0,0,0
"CTD-2081C10.7",0,0.0002332362,0.0001192464,0
"CTD-2083E4.6",0.0006064281,0,0.0002384927,0
"CTD-2085J24.4",0,0.0002332362,0.0001192464,0.000408998
"CTD-2086O20.3",0.0008489994,0.0001166181,0.0001192464,0
"CTD-2090I13.1",0.0001212856,0.0005830904,0.0003577391,0.000408998
"CTD-2105E13.13",0.0003638569,0,0.0003577391,0
"CTD-2113L7.1",0.0001212856,0.0002332362,0,0
"CTD-2116F7.1",0.0001212856,0.0001166181,0,0
"CTD-2116N17.1",0.0001212856,0,0.0002384927,0
"CTD-2116N20.1",0,0.0001166181,0,0
"CTD-2118P12.1",0,0,0,0
"CTD-2126E3.3",0.0003638569,0,0,0.000408998
"CTD-2126E3.4",0,0,0,0
"CTD-2134A5.3",0,0,0,0
"CTD-2135D7.2",0,0.0001166181,0,0
"CTD-2135D7.5",0,0,0,0.0008179959
"CTD-2145A24.3",0,0,0,0
"CTD-2152M20.2",0.0001212856,0,0.0001192464,0
"CTD-2154B17.4",0.0003638569,0,0,0.000408998
"CTD-2154I11.2",0.0006064281,0,0,0
"CTD-2162K18.3",0.0012128563,0.0002332362,0.0004769855,0
"CTD-2162K18.4",0.0044875682,0.0011661808,0.0023849273,0.000408998
"CTD-2162K18.5",0.0076409945,0.0047813411,0.0112091581,0.0012269939
"CTD-2165H16.4",0.0025469982,0.0005830904,0.0008347245,0.0016359918
"CTD-2168K21.2",0,0.0005830904,0,0
"CTD-2184C24.2",0.0030321407,0.0005830904,0.0002384927,0.0008179959
"CTD-2184D3.6",0,0.0001166181,0,0
"CTD-2186M15.3",0.0200121286,0.0082798834,0.0076317672,0.0106339468
"CTD-2189E23.1",0,0,0,0.000408998
"CTD-2189E23.2",0,0,0,0
"CTD-2192J16.11",0,0.0001166181,0,0
"CTD-2192J16.20",0.0001212856,0,0,0
"CTD-2192J16.22",0.0002425713,0.0011661808,0.0003577391,0.0065439673
"CTD-2192J16.26",0.0001212856,0,0,0
"CTD-2196E14.4",0.0003638569,0.0001166181,0.0003577391,0.0008179959
"CTD-2196E14.9",0.0001212856,0.0004664723,0,0
"CTD-2199O4.1",0.0001212856,0,0,0
"CTD-2199O4.3",0,0,0,0
"CTD-2199O4.6",0.0001212856,0.0001166181,0,0
"CTD-2201E18.5",0.0008489994,0.0008163265,0.0005962318,0
"CTD-2201I18.1",0.0001212856,0.0003498542,0,0
"CTD-2203K17.1",0.0016979988,0.0006997085,0.0001192464,0.0008179959
"CTD-2207O23.3",0,0.0001166181,0,0
"CTD-2210P24.4",0.00194057,0.0017492711,0,0
"CTD-2213F21.2",0.0004851425,0,0,0
"CTD-2215E18.1",0,0,0.0098974481,0
"CTD-2227E11.1",0,0,0,0
"CTD-2227I18.1",0,0.0003498542,0,0
"CTD-2228K2.5",0.0129775622,0.0328862974,0.0146673026,0.0012269939
"CTD-2231E14.8",0.0024257126,0.0003498542,0.0004769855,0.0008179959
"CTD-2232E5.2",0,0,0.0001192464,0
"CTD-2235C13.2",0.0001212856,0,0,0
"CTD-2235C13.3",0.0001212856,0,0,0
"CTD-2235H24.2",0,0.0001166181,0,0
"CTD-2236F14.1",0.0001212856,0.0001166181,0,0
"CTD-2240E14.4",0.0001212856,0,0.0002384927,0
"CTD-2240J17.1",0,0.0001166181,0,0
"CTD-2245E15.3",0,0,0,0
"CTD-2245F17.3",0.0018192844,0.0008163265,0.0017886954,0.0008179959
"CTD-2246P4.1",0.0001212856,0.0001166181,0,0
"CTD-2249K22.1",0.0006064281,0,0,0.0008179959
"CTD-2256P15.1",0,0.0001166181,0,0
"CTD-2256P15.2",0.0050939964,0.0036151603,0.00262342,0.0118609407
"CTD-2256P15.4",0.0007277138,0.0002332362,0,0
"CTD-2260A17.1",0.0003638569,0.0003498542,0.0001192464,0.0012269939
"CTD-2260A17.2",0.0106731352,0.0050145773,0.0035773909,0.0012269939
"CTD-2260A17.3",0.0004851425,0.0001166181,0,0
"CTD-2265O21.7",0,0.0003498542,0,0
"CTD-2267D19.2",0.0037598545,0.0010495627,0.0004769855,0.0347648262
"CTD-2267D19.3",0.0001212856,0,0.0001192464,0
"CTD-2270L9.4",0.0038811401,0.0017492711,0.0009539709,0.0098159509
"CTD-2283N19.1",0.0001212856,0.0001166181,0,0
"CTD-2287O16.4",0,0.0001166181,0,0
"CTD-2287O16.5",0.0116434203,0.0075801749,0.0059623181,0.0044989775
"CTD-2288F12.1",0.0014554275,0.0016326531,0.0014309564,0.0028629857
"CTD-2291D10.1",0,0,0,0
"CTD-2292M16.8",0.0007277138,0.0009329446,0.0008347245,0
"CTD-2292P10.2",0.0001212856,0.0001166181,0,0
"CTD-2293H3.2",0,0.0002332362,0.0001192464,0
"CTD-2296D1.5",0,0,0.0001192464,0
"CTD-2302E22.4",0.0016979988,0.0008163265,0.0007154782,0
"CTD-2306M10.1",0,0,0.0010732173,0.000408998
"CTD-2308L22.1",0.0006064281,0.0008163265,0,0
"CTD-2309O5.3",0,0,0,0
"CTD-2310F14.1",0,0,0.0001192464,0
"CTD-2313F11.3",0,0.0001166181,0,0
"CTD-2314B22.3",0.0003638569,0,0.0001192464,0
"CTD-2319I12.2",0,0.0002332362,0.0016694491,0.0016359918
"CTD-2325A15.5",0,0,0,0
"CTD-2325M2.1",0.0023044269,0.0011661808,0.0010732173,0.000408998
"CTD-2325P2.3",0,0,0.0004769855,0
"CTD-2325P2.4",0.0001212856,0,0.0022656809,0
"CTD-2330K9.3",0.0002425713,0,0.0001192464,0
"CTD-2331H12.7",0.0008489994,0.0001166181,0.0002384927,0.000408998
"CTD-2336O2.1",0.0494845361,0.0233236152,0.0188409254,0.0257668712
"CTD-2341M24.1",0.0160097029,0.0057142857,0.0022656809,0.0012269939
"CTD-2342J14.6",0.000970285,0.0010495627,0.0009539709,0.0012269939
"CTD-2349P21.9",0.0008489994,0.0005830904,0.0008347245,0
"CTD-2350C19.1",0.0006064281,0.0009329446,0.0004769855,0
"CTD-2350C19.2",0.0004851425,0.0001166181,0.0009539709,0.000408998
"CTD-2353F22.1",0.000970285,0.0001166181,0.0014309564,0.0012269939
"CTD-2357A8.3",0.0023044269,0.0012827988,0.0002384927,0.0020449898
"CTD-2358C21.3",0.0003638569,0,0,0
"CTD-2366F13.1",0.0023044269,0.0011661808,0.0044121154,0
"CTD-2366F13.2",0,0.0002332362,0.0001192464,0
"CTD-2368P22.1",0.0234081261,0.004548105,0.0296923444,0.0020449898
"CTD-2369P2.10",0,0,0.0001192464,0
"CTD-2369P2.2",0.0023044269,0.0017492711,0,0.0008179959
"CTD-2369P2.4",0,0,0,0.0008179959
"CTD-2369P2.5",0.0002425713,0.0001166181,0.0003577391,0.000408998
"CTD-2369P2.8",0.0002425713,0,0,0.000408998
"CTD-2370N5.3",0,0,0,0
"CTD-2371O3.2",0.000970285,0.0005830904,0.0010732173,0.000408998
"CTD-2373H9.5",0,0,0,0
"CTD-2376I20.1",0.0024257126,0,0,0
"CTD-2376I4.2",0,0,0,0.000408998
"CTD-2377D24.6",0,0,0,0
"CTD-2377O17.1",0.000970285,0.0003498542,0.0002384927,0.000408998
"CTD-2382E5.1",0.0006064281,0.0002332362,0,0
"CTD-2382E5.4",0,0,0.0001192464,0
"CTD-2384B11.2",0,0,0,0
"CTD-2396E7.10",0,0,0,0
"CTD-2410N18.3",0.0053365676,0.00303207,0.0011924636,0.000408998
"CTD-2501E16.2",0,0.0001166181,0.0005962318,0
"CTD-2503I6.1",0,0,0.0001192464,0
"CTD-2503O16.4",0.0003638569,0.0002332362,0,0
"CTD-2506J14.1",0.0020618557,0.0009329446,0,0
"CTD-2509G16.2",0,0,0.0001192464,0
"CTD-2509G16.5",0,0,0.0005962318,0
"CTD-2514K5.2",0.0001212856,0.0003498542,0,0.0016359918
"CTD-2514K5.4",0,0,0,0.000408998
"CTD-2515A14.1",0,0.0001166181,0,0
"CTD-2516F10.2",0.000970285,0.0001166181,0.0014309564,0.000408998
"CTD-2517M22.16",0,0.0001166181,0.0001192464,0
"CTD-2517M22.17",0,0,0,0
"CTD-2517O10.6",0.0029108551,0.0017492711,0.0031004054,0
"CTD-2520I13.1",0.0001212856,0,0,0
"CTD-2521M24.5",0,0.0001166181,0,0
"CTD-2521M24.6",0.0001212856,0,0.0001192464,0
"CTD-2521M24.8",0.0001212856,0,0,0
"CTD-2521M24.9",0.0487568223,0.0257725948,0.0234915335,0.0053169734
"CTD-2523D13.2",0.0001212856,0,0,0
"CTD-2524L6.3",0.0002425713,0,0,0
"CTD-2525I3.2",0.0004851425,0.0001166181,0.0002384927,0
"CTD-2525I3.3",0.0001212856,0,0,0
"CTD-2525I3.5",0,0.0001166181,0,0
"CTD-2526A2.2",0.0008489994,0.0004664723,0.0001192464,0
"CTD-2527I21.7",0.0001212856,0.0006997085,0.0001192464,0
"CTD-2528A14.3",0,0,0,0
"CTD-2528L19.4",0,0,0,0
"CTD-2528L19.6",0.0006064281,0.0008163265,0.0007154782,0
"CTD-2530H12.4",0.0001212856,0,0,0
"CTD-2531D15.5",0,0,0,0.000408998
"CTD-2532N20.1",0.0055791389,0.0010495627,0.00131171,0.0012269939
"CTD-2534I21.8",0.0013341419,0.0002332362,0.0001192464,0
"CTD-2537I9.12",0.0001212856,0.0001166181,0,0
"CTD-2537I9.16",0.0001212856,0,0,0
"CTD-2537I9.5",0.0003638569,0.0002332362,0.0003577391,0
"CTD-2538C1.2",0.0057004245,0.0023323615,0.0015502027,0.0118609407
"CTD-2540B15.11",0.0001212856,0,0,0.000408998
"CTD-2540B15.9",0.0001212856,0,0,0.0016359918
"CTD-2540F13.2",0.0004851425,0,0.0017886954,0
"CTD-2540L5.6",0.0001212856,0,0.0001192464,0
"CTD-2541J13.2",0,0,0,0
"CTD-2541M15.1",0.0002425713,0,0.00131171,0.000408998
"CTD-2541M15.4",0.0010915706,0.0004664723,0.0001192464,0
"CTD-2542L18.1",0.0002425713,0,0.0001192464,0.000408998
"CTD-2544N14.3",0.0002425713,0.0004664723,0.0009539709,0
"CTD-2545M3.2",0.0002425713,0.0001166181,0,0
"CTD-2545M3.8",0,0,0,0.0073619632
"CTD-2547L16.1",0.0001212856,0.0004664723,0.0004769855,0.000408998
"CTD-2547L24.3",0.0121285628,0.0011661808,0.0001192464,0
"CTD-2547L24.4",0.0018192844,0.0004664723,0,0
"CTD-2554C21.2",0,0.0001166181,0.0002384927,0.000408998
"CTD-2555A7.2",0,0,0,0.000408998
"CTD-2555A7.3",0,0.0003498542,0.0001192464,0
"CTD-2555C10.3",0.0070345664,0.0018658892,0.0031004054,0.0020449898
"CTD-2555K7.4",0.0006064281,0.0001166181,0.0001192464,0.0008179959
"CTD-2555O16.2",0.0002425713,0.0002332362,0.0003577391,0
"CTD-2555O16.3",0,0.0002332362,0,0
"CTD-2555O16.4",0.0001212856,0.0006997085,0.0001192464,0
"CTD-2561B21.11",0.0033959976,0.0006997085,0.0001192464,0
"CTD-2561B21.5",0.0001212856,0.0001166181,0.0001192464,0
"CTD-2561B21.7",0.0001212856,0.0001166181,0.0002384927,0
"CTD-2562J15.4",0,0,0,0
"CTD-2562J15.6",0.0063068526,0.0053644315,0.0040543763,0.0036809816
"CTD-2562J17.4",0,0.0001166181,0,0
"CTD-2568A17.1",0.0002425713,0.0001166181,0,0
"CTD-2568A17.5",0.0003638569,0.0005830904,0.0003577391,0
"CTD-2568A17.8",0,0,0.0001192464,0
"CTD-2568P8.1",0,0,0,0
"CTD-2571L23.8",0.0002425713,0,0,0
"CTD-2574D22.2",0.0007277138,0.0001166181,0.0008347245,0
"CTD-2576D5.4",0.0031534263,0.0012827988,0.0100166945,0.0012269939
"CTD-2583A14.10",0,0,0,0.000408998
"CTD-2587H19.1",0.0016979988,0.0003498542,0.0005962318,0.0012269939
"CTD-2587H19.3",0,0,0,0
"CTD-2587H24.10",0.0001212856,0,0,0.000408998
"CTD-2587M2.1",0.0006064281,0.0004664723,0.0014309564,0.000408998
"CTD-2587M23.1",0,0,0,0.000408998
"CTD-2588C8.8",0.0010915706,0.0003498542,0,0
"CTD-2589H19.6",0,0.0003498542,0,0
"CTD-2589M5.5",0,0,0,0.0008179959
"CTD-2600O9.1",0,0,0.0001192464,0
"CTD-2616J11.11",0.0002425713,0,0,0.000408998
"CTD-2616J11.14",0.0001212856,0,0,0
"CTD-2616J11.16",0,0,0.0001192464,0
"CTD-2616J11.2",0,0,0,0.0008179959
"CTD-2616J11.9",0.0001212856,0,0,0
"CTD-2619J13.14",0.0013341419,0.0009329446,0.0010732173,0.0012269939
"CTD-2619J13.16",0,0,0,0
"CTD-2619J13.17",0,0.0001166181,0,0
"CTD-2619J13.19",0.0004851425,0.0003498542,0.0003577391,0
"CTD-2619J13.23",0.0003638569,0.0001166181,0.0003577391,0
"CTD-2619J13.3",0.0008489994,0,0,0
"CTD-2619J13.9",0,0,0.0001192464,0
"CTD-2620I22.7",0.0001212856,0.0001166181,0.0002384927,0
"CTD-2623N2.11",0.0010915706,0.0010495627,0.0009539709,0
"CTD-2630F21.1",0.0033959976,0.0024489796,0.0025041736,0
"CTD-2631K10.1",0.0003638569,0.0001166181,0.0003577391,0
"CTD-2636A23.2",0,0.0001166181,0,0
"CTD-2639E6.9",0,0,0,0.0008179959
"CTD-2647E9.3",0,0,0,0
"CTD-2647L4.5",0,0,0,0.000408998
"CTD-2650P22.1",0.0001212856,0,0,0.0016359918
"CTD-2651B20.1",0.0015767132,0.0010495627,0.0009539709,0
"CTD-2651B20.3",0.0018192844,0.0006997085,0.0008347245,0.000408998
"CTD-2653M23.3",0,0,0,0
"CTD-2655K5.1",0.0001212856,0,0.0001192464,0
"CTD-2659N19.10",0.0001212856,0.0002332362,0.0001192464,0.000408998
"CTD-2659N19.2",0,0,0,0.000408998
"CTD-2659N19.9",0.0001212856,0,0,0.0020449898
"CTD-2666L21.1",0.0006064281,0,0.0003577391,0
"CTD-3020H12.4",0,0,0,0
"CTD-3023J11.2",0.0001212856,0,0,0.0008179959
"CTD-3025N20.3",0.0001212856,0,0,0
"CTD-3028N15.1",0,0,0,0
"CTD-3051D23.1",0,0,0.0002384927,0
"CTD-3051D23.4",0,0,0,0
"CTD-3060P21.1",0.0003638569,0,0,0
"CTD-3064H18.1",0.0032747119,0.0023323615,0.0034581445,0
"CTD-3064H18.2",0,0.0004664723,0.0003577391,0
"CTD-3064H18.4",0,0,0,0
"CTD-3064M3.4",0,0,0,0
"CTD-3064M3.7",0,0.0001166181,0,0
"CTD-3065B20.2",0.0006064281,0.0001166181,0,0
"CTD-3065B20.3",0,0,0,0
"CTD-3065J16.6",0.0004851425,0,0,0
"CTD-3065J16.9",0.0023044269,0.0022157434,0.0015502027,0.0057259714
"CTD-3074O7.12",0.0012128563,0.0013994169,0.0015502027,0
"CTD-3074O7.5",0.0154032747,0.0111953353,0.0183639399,0.009406953
"CTD-3076O17.1",0,0.0002332362,0.0001192464,0
"CTD-3076O17.2",0.0001212856,0,0.0001192464,0
"CTD-3088G3.8",0.0006064281,0.0003498542,0.0001192464,0
"CTD-3093M3.1",0.0003638569,0.0008163265,0.0007154782,0.000408998
"CTD-3096M3.1",0.0002425713,0,0,0
"CTD-3105H18.13",0.0001212856,0,0.0002384927,0
"CTD-3105H18.14",0.0018192844,0.0002332362,0.0008347245,0.000408998
"CTD-3105H18.18",0.0002425713,0.0001166181,0.0002384927,0.000408998
"CTD-3110H11.1",0.0001212856,0.0001166181,0,0
"CTD-3113P16.5",0,0,0,0
"CTD-3126B10.1",0,0,0,0
"CTD-3128G10.6",0,0.0001166181,0.0002384927,0
"CTD-3131K8.2",0.0037598545,0.0009329446,0.0014309564,0.0036809816
"CTD-3137H5.1",0,0,0,0
"CTD-3138B18.5",0.0259551243,0.0214577259,0.0060815645,0.0061349693
"CTD-3148I10.9",0,0.0001166181,0,0
"CTD-3154N5.1",0.0003638569,0.0004664723,0.0001192464,0.000408998
"CTD-3162L10.1",0.0001212856,0,0,0
"CTD-3184A7.4",0.0323832626,0.0890962099,0.0856188886,0.0282208589
"CTD-3185P2.1",0.0098241358,0.0053644315,0.0050083472,0.0008179959
"CTD-3185P2.2",0,0,0,0
"CTD-3187F8.14",0.0008489994,0,0,0.000408998
"CTD-3193K9.4",0.0018192844,0.0121282799,0.0053660863,0.000408998
"CTD-3193O13.1",0.0002425713,0,0.0001192464,0
"CTD-3193O13.11",0,0.0001166181,0,0
"CTD-3193O13.13",0,0,0,0
"CTD-3193O13.9",0.0006064281,0.0002332362,0,0
"CTD-3194G12.2",0.0006064281,0.0001166181,0,0
"CTD-3195I5.1",0.0038811401,0.0019825073,0.0014309564,0.0008179959
"CTD-3195I5.3",0.0001212856,0,0,0
"CTD-3195I5.5",0.0006064281,0.0005830904,0.0007154782,0
"CTD-3203P2.1",0.0003638569,0.0004664723,0.0002384927,0.0008179959
"CTD-3203P2.2",0.0026682838,0.0008163265,0.0025041736,0.0012269939
"CTD-3214H19.4",0.0030321407,0.0020991254,0.0007154782,0.0032719836
"CTD-3214H19.6",0.0003638569,0.0001166181,0,0
"CTD-3222D19.10",0.0001212856,0,0,0
"CTD-3222D19.11",0.0001212856,0,0,0
"CTD-3222D19.7",0,0.0002332362,0.0001192464,0.000408998
"CTD-3224I3.3",0,0,0.0001192464,0
"CTD-3224K15.2",0.0002425713,0,0.0002384927,0.000408998
"CTD-3224K15.3",0,0,0.0010732173,0
"CTD-3234P18.2",0,0,0,0
"CTDNEP1",0.0471801092,0.0480466472,0.036131648,0.0805725971
"CTDP1",0.0195269861,0.0177259475,0.00655855,0.0151329243
"CTDSP1",0.1469981807,0.0827988338,0.0558072979,0.0699386503
"CTDSP2",0.0382049727,0.0563265306,0.0280228953,0.0298568507
"CTDSPL",0,0.0004664723,0,0.0102249489
"CTDSPL2",0.0338386901,0.0097959184,0.0116861436,0.0044989775
"CTF1",0.0020618557,0,0,0.0012269939
"CTGF",0,0,0.0004769855,0
"CTH",0.0007277138,0.0016326531,0.00131171,0.0008179959
"CTHRC1",0.0001212856,0.0001166181,0.0001192464,0
"CTIF",0.0008489994,0.0002332362,0.0004769855,0.0036809816
"CTLA4",0,0.0068804665,0,0
"CTNNA1",0.0080048514,0.0055976676,0.0094204627,0.0278118609
"CTNNA3",0.0001212856,0.0001166181,0,0
"CTNNAL1",0.0026682838,0.0008163265,0.0002384927,0.000408998
"CTNNB1",0.0181928441,0.0120116618,0.00787026,0.0233128834
"CTNNBIP1",0.089266222,0.0166763848,0.012163129,0.054805726
"CTNNBL1",0.0938750758,0.055393586,0.0691628905,0.0298568507
"CTNND1",0.0018192844,0.0012827988,0.0045313618,0.0098159509
"CTNS",0.0059429958,0.0041982507,0.0053660863,0.0065439673
"CTPS1",0.0149181322,0.0065306122,0.0034581445,0.0028629857
"CTPS2",0.0030321407,0.0011661808,0.0025041736,0.000408998
"CTR9",0.0511825349,0.016909621,0.0214643453,0.0057259714
"CTRB1",0,0,0,0
"CTRB2",0,0,0,0
"CTRC",0.0001212856,0,0,0
"CTRL",0.0024257126,0.0012827988,0.0008347245,0.0008179959
"CTSA",0.0733778047,0.1350437318,0.0159790126,0.0969325153
"CTSB",0.0236506974,0.0915451895,0.0190794181,0.1860940695
"CTSC",0.5106124924,0.1293294461,0.0202718817,0.0895705521
"CTSD",0.5307459066,0.1006413994,0.0294538517,0.4400817996
"CTSE",0,0,0.0001192464,0
"CTSF",0.0308065494,0.0163265306,0.00787026,0
"CTSH",0.0012128563,0.0868804665,0.1987836871,0.3243353783
"CTSK",0.0004851425,0.0009329446,0.0003577391,0.0024539877
"CTSL",0.0001212856,0.001516035,0,0.0053169734
"CTSO",0.0282595512,0.0082798834,0.0091819699,0.0028629857
"CTSS",0.1959975743,0.1254810496,0.3536847126,0.8789366053
"CTSV",0,0,0,0.000408998
"CTSW",2.7836264403,0.1342274052,0.0008347245,0.0016359918
"CTSZ",0.017586416,0.0059475219,0.0849034104,0.1427402863
"CTTN",0,0,0,0
"CTTNBP2",0,0,0,0.0016359918
"CTTNBP2NL",0,0,0.0004769855,0.0024539877
"CTU1",0.0369921164,0.0120116618,0.0093012163,0.0085889571
"CTU2",0.012371134,0.0099125364,0.0088242309,0.0081799591
"CTXN2",0,0,0,0
"CUBN",0.0004851425,0.0017492711,0.0014309564,0.0008179959
"CUEDC1",0.0001212856,0,0,0.0130879346
"CUEDC2",0.0982413584,0.0772011662,0.0628428333,0.0895705521
"CUL1",0.0378411158,0.0218075802,0.0172907226,0.0118609407
"CUL2",0.0141904184,0.009212828,0.0066777963,0.0040899796
"CUL3",0.0375985446,0.0185422741,0.0215835917,0.0077709611
"CUL4A",0.0367495452,0.0320699708,0.0164559981,0.0134969325
"CUL4B",0.0101879927,0.0053644315,0.0057238254,0.0012269939
"CUL5",0.0323832626,0.0117784257,0.0230145481,0.0044989775
"CUL7",0.0013341419,0.0017492711,0.0021464345,0.0028629857
"CUL9",0.0037598545,0.0074635569,0.0050083472,0.0114519427
"CUTA",0.6065494239,0.7254810496,0.3493918435,0.3059304703
"CUTC",0.0776228017,0.0412827988,0.0407822561,0.0204498978
"CUX1",0.0254699818,0.0151603499,0.0166944908,0.03599182
"CUX2",0,0,0,0
"CUZD1",0.0006064281,0.0009329446,0.0003577391,0
"CWC15",0.1769557307,0.1213994169,0.0968280467,0.0789366053
"CWC22",0.0230442693,0.0078134111,0.0139518245,0.0024539877
