"AGENE","CD56NK","CD4MemoryT","CD19B","CD14"
"ABHD5",0.0149181322,0.006180758,0.0033388982,0.0069529652
"ABHD6",0.0054578532,0.0023323615,0.0064393036,0.0044989775
"ABHD8",0.0139478472,0.0113119534,0.0098974481,0.0130879346
"ABI1",0.1248029109,0.0597084548,0.0595039351,0.0065439673
"ABI2",0.0130988478,0.0115451895,0.0060815645,0.0020449898
"ABI3",0.4255912674,0.0232069971,0.0199141426,0.0993865031
"ABL1",0.0112795634,0.0121282799,0.0152635345,0.0069529652
"ABL2",0.0098241358,0.0101457726,0.0097782018,0.0028629857
"ABLIM1",0.0276531231,0.035451895,0.0258764608,0
"ABLIM2",0.0001212856,0.0013994169,0.0007154782,0
"ABLIM3",0,0,0,0
"ABR",0.0149181322,0.0145772595,0.0066777963,0.0224948875
"ABRACL",0.2827167981,0.2788338192,0.0555688052,0.0826175869
"ABT1",0.0761673742,0.0513119534,0.0418554734,0.0139059305
"ABTB1",0.1102486355,0.0742857143,0.0704746005,0.0834355828
"ABTB2",0.0002425713,0.0001166181,0,0.0024539877
"AC000003.2",0,0,0,0
"AC000032.2",0,0,0,0
"AC000068.10",0,0,0,0
"AC000068.5",0.0001212856,0.0002332362,0.0002384927,0
"AC000068.9",0.0001212856,0,0,0
"AC002115.9",0,0,0.0002384927,0
"AC002116.7",0.0004851425,0.001516035,0.0009539709,0.0012269939
"AC002117.1",0.0110369921,0.0058309038,0.0076317672,0.0024539877
"AC002306.1",0,0.0005830904,0.0001192464,0
"AC002310.12",0.0101879927,0.0102623907,0.0115668972,0.0012269939
"AC002310.7",0.0001212856,0,0,0
"AC002331.1",0,0.0005830904,0,0
"AC002383.2",0.0002425713,0,0,0
"AC002398.11",0.0001212856,0.0001166181,0.0001192464,0
"AC002398.13",0,0,0,0
"AC002398.5",0,0,0.0001192464,0
"AC002451.3",0.0001212856,0,0,0.0028629857
"AC002454.1",0.0002425713,0.0004664723,0,0
"AC002456.2",0,0,0.0008347245,0.0008179959
"AC002467.7",0.0126137053,0.0087463557,0.0023849273,0.0098159509
"AC002472.11",0,0,0,0.000408998
"AC002472.13",0,0,0.0001192464,0
"AC002480.2",0,0,0.0008347245,0
"AC002480.4",0,0,0.0001192464,0
"AC002550.5",0.0001212856,0.0001166181,0,0
"AC003002.6",0,0,0,0
"AC003005.2",0,0,0.0001192464,0
"AC003051.1",0.0001212856,0,0,0
"AC003075.4",0.0080048514,0.024606414,0.0034581445,0.0122699387
"AC003090.1",0,0.0002332362,0.0011924636,0
"AC003102.3",0,0.0002332362,0,0
"AC003665.1",0.0001212856,0.0002332362,0.0002384927,0.000408998
"AC003682.16",0,0.0001166181,0,0
"AC003956.1",0.0001212856,0.0002332362,0.0002384927,0
"AC003991.3",0.0001212856,0.0001166181,0,0
"AC004019.13",0,0,0,0
"AC004067.5",0,0.0004664723,0.0003577391,0
"AC004069.2",0.0003638569,0.0002332362,0.0001192464,0.0012269939
"AC004076.9",0,0,0,0
"AC004156.3",0.0002425713,0.0003498542,0,0
"AC004158.2",0.0006064281,0.0001166181,0.0016694491,0.000408998
"AC004231.2",0.0001212856,0,0,0
"AC004237.1",0.0001212856,0.0001166181,0,0
"AC004257.3",0.0010915706,0.001516035,0.00131171,0.0020449898
"AC004381.6",0.0020618557,0.0012827988,0,0.0020449898
"AC004381.7",0,0,0.0001192464,0
"AC004447.2",0.0001212856,0.0002332362,0.0002384927,0.000408998
"AC004463.6",0.0014554275,0.0017492711,0.0044121154,0.0012269939
"AC004466.1",0.0001212856,0.0001166181,0.0005962318,0
"AC004490.1",0.0001212856,0,0,0
"AC004510.3",0.00194057,0.0001166181,0.0004769855,0.0008179959
"AC004528.4",0.0003638569,0.0001166181,0,0
"AC004540.4",0.0001212856,0,0,0
"AC004540.5",0.0001212856,0,0.0008347245,0.0012269939
"AC004549.6",0.0006064281,0.0004664723,0,0.000408998
"AC004623.2",0,0.0001166181,0,0
"AC004775.5",0,0,0.0001192464,0
"AC004840.9",0.00194057,0.0004664723,0.0008347245,0
"AC004854.4",0.0024257126,0.0023323615,0.0001192464,0.000408998
"AC004878.8",0.0001212856,0,0,0
"AC004893.11",0.0015767132,0.0024489796,0.0014309564,0.0016359918
"AC004895.4",0.0004851425,0.0002332362,0,0
"AC004906.3",0,0,0,0
"AC004951.6",0.0047301395,0.0059475219,0.0035773909,0.0126789366
"AC005003.1",0.0006064281,0.0003498542,0.0016694491,0.0008179959
"AC005037.3",0.0014554275,0.0004664723,0.0009539709,0
"AC005076.5",0.0033959976,0.0033819242,0.0031004054,0.0069529652
"AC005082.12",0.0003638569,0,0,0.000408998
"AC005152.3",0,0,0,0
"AC005197.2",0,0,0.0001192464,0
"AC005220.3",0,0,0.0001192464,0.000408998
"AC005224.2",0,0.0001166181,0.0002384927,0
"AC005237.4",0,0,0,0
"AC005253.2",0.0007277138,0.0004664723,0.0003577391,0
"AC005253.4",0.0004851425,0.0001166181,0,0.000408998
"AC005264.2",0,0.0002332362,0,0.0040899796
"AC005304.1",0,0.0001166181,0,0
"AC005306.3",0.0016979988,0.0037317784,0.0027426663,0.0028629857
"AC005307.1",0.0001212856,0,0,0
"AC005307.3",0.0001212856,0,0,0
"AC005329.7",0.0003638569,0.0003498542,0.0001192464,0.000408998
"AC005339.2",0.0007277138,0.0009329446,0.0005962318,0.000408998
"AC005356.1",0.0001212856,0.0001166181,0.0001192464,0
"AC005387.3",0,0,0,0
"AC005481.5",0,0.0002332362,0,0
"AC005498.3",0.0021831413,0.0022157434,0.0009539709,0.000408998
"AC005523.2",0.0025469982,0.0010495627,0.0004769855,0.0012269939
"AC005523.3",0.0007277138,0.0004664723,0.0003577391,0
"AC005534.8",0.0001212856,0.0002332362,0.0001192464,0
"AC005540.3",0.0023044269,0.0005830904,0,0
"AC005594.3",0,0,0,0
"AC005606.14",0,0,0,0
"AC005606.15",0,0,0,0
"AC005609.1",0,0,0,0
"AC005614.3",0.0023044269,0.0008163265,0.0001192464,0.0008179959
"AC005616.1",0.0021831413,0,0,0
"AC005618.6",0.0008489994,0.0002332362,0.0002384927,0
"AC005624.2",0.0001212856,0,0,0
"AC005682.8",0,0,0.0002384927,0
"AC005740.6",0,0.0001166181,0,0
"AC005775.2",0.0003638569,0.0001166181,0.0001192464,0.000408998
"AC005779.2",0,0,0,0
"AC005786.5",0.0001212856,0.0001166181,0.0001192464,0
"AC005786.7",0,0.0002332362,0,0
