TopLeft	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.023	0.10014	0.678	0.051	0.002
ascites7873R2	0.023	0.10014	0.678	0.051	0.002
ascites7882R1	0.033	0.20138	0.329	0.19	0
ascites7882R2	0.033	0.20138	0.329	0.19	0
ascites7892R1	0	0.14789	0.001	0.213	0
ascites7892R2	0	0.14789	0.001	0.213	0
