,"Neutrophils","T_cells_.gamma.delta.","Monocytes_CD14.CD16.","Macrophage","T_cells_.CD4..","Fibroblasts","Endothelial_cells","Keratinocytes","CD34.","Platelets"
"HSP90AB1",137.1635629778,1696.6330309889,477.2843793578,1031.3734913333,1030.3121686444,765.8842239333,2087.8464844444,1027.1456909556,911.2922480889,32.7056663781
"HSP90B1",228.0111140889,681.51952928,510.7020088567,821.4499183333,484.2834950422,718.7094707044,1138.8645772667,637.38553692,761.0931922267,161.7304610544
"HSPA12A",19.2279866813,17.1175834007,19.8255174658,17.7353365727,17.7983307916,83.5727682522,16.8764360952,28.086995432,17.6957641103,16.407902072
"HSPA12B",49.5876127122,33.3547488529,38.8164093538,34.7207709313,31.6559923127,31.1706952731,85.3413439111,34.7967438819,39.6279490833,57.4088678504
"HSPA13",188.5105275056,243.7258511156,72.7957584202,150.3446262978,62.4804210041,277.7581893756,218.8940153067,107.82784208,149.8730392711,34.542999687
"HSPA14",178.2831711033,320.8620612867,186.3283851633,192.3752848911,206.4182394778,161.0084838878,167.9424564422,222.5576914044,501.7209320844,265.65234415
"HSPA1A",3281.8765806222,2004.0876605556,1853.2309945778,1353.3519622444,995.0361594889,1183.0430093111,1346.5977848444,2011.0553575333,2591.3918404889,798.1171777556
"HSPA1L",174.1275014589,120.9509193378,113.3633399022,46.3530154178,190.1334375467,38.1447552833,63.6407949347,53.943795832,55.1532126408,97.7659173822
"HSPA2",31.7700726449,57.8008867459,22.317317223,30.7942716127,23.9353705944,473.2383800933,155.0486738611,1537.3507188889,35.9013728696,97.7659173822
"HSPA4",243.0345878222,572.3073730689,280.9041524356,631.9000856822,226.6296137756,444.6901878333,702.0762769267,594.9436898511,408.4358512356,473.2383800933
"HSPA4L",20.3654533896,18.8347561651,17.3047469127,19.3822017389,15.0912958553,47.5663187193,68.3753967703,544.2382618689,23.6323861391,21.1552266977
"HSPA5",1388.8580133556,2068.3684014222,1293.8383848222,1803.1355501556,1039.4876107333,2231.2553857778,3414.4674270889,2134.6296288667,1746.7591775556,380.4908518156
"HSPA6",841.5901329111,65.5940929842,226.9124312667,79.089513786,44.5097786761,32.1510403009,311.6165441289,56.382510814,47.4270965598,43.865153572
"HSPA8",847.3206631778,5464.8278456889,2266.2811300444,4553.1536712444,4137.7517066444,3930.9992472667,4871.1480373556,3267.3655264222,3510.3529132889,1236.8207938667
"HSPA9",223.0393868411,517.6234607089,404.5662135556,679.0519604422,410.1828877356,693.7207258444,554.0613449711,484.71640163,327.6706722144,118.2509359867
"HSPB1",59.4135693884,208.3044072289,101.9268557422,1120.3279978667,307.9411815778,3601.0804549556,3730.8333482667,7069.9006800889,171.7794847444,79.7102377953
"HSPB11",231.8554115956,1519.4667731556,479.7776698644,631.0799928667,765.8842239333,530.5659923211,611.1928367844,416.4302993856,1634.1712724,1073.9346592889
"HSPB2",65.8338836277,42.4783432013,47.6761102811,42.4096394524,41.413048212,216.22897774,42.0387690067,53.4108683931,38.1306425082,100.7250245689
"HSPB3",24.7882419951,24.138688648,24.662085636,23.8273272947,23.4689789907,65.7823633911,20.8120958242,26.4208674378,24.7205240536,37.5804235553
"HSPB6",22.5624288013,23.3660801522,25.0362410053,26.7099734893,28.1469380618,133.3876467344,31.3739226002,31.9508641517,29.838381533,53.7350517413
"HSPB7",28.5516315207,31.1987392399,29.8206398796,39.3658082284,27.8687574679,339.5568528089,29.1054563376,36.6677684293,26.9088495373,35.8237888682
"HSPB8",53.1122513858,43.4261299762,46.1993616352,47.6838338291,40.9862031336,405.6127769733,220.9420574378,1244.6388289778,39.306849364,73.7269195642
"HSPB9",18.2631614502,16.221458023,19.6184191358,19.5432072282,18.520377484,15.2615785589,17.514383284,16.354723076,15.9005877727,18.175530126
"HSPBAP1",643.3941761667,54.2048770198,276.5071576978,226.5917252044,148.84050914,77.479744072,66.330811332,118.6512514756,191.3121622244,274.3209512467
"HSPBP1",95.7791549322,143.9164483933,117.0743102,99.0886381389,116.2863134156,121.8896166667,130.1960912078,235.5593822356,105.6046597311,105.1764255689
"HSPC072",46.6812788402,35.5008603764,49.7554446242,34.5892934159,38.3505278836,27.6341491077,32.1949782811,38.1807885384,33.5650619218,32.1315466828
"HSPC157",68.2071470702,87.45187126,154.4508635222,92.1861589022,98.0307635233,94.0400462556,79.8269769622,57.5380116911,79.3908310311,69.3524568836
"HSPC159",934.1870845556,28.6701895429,52.5235928162,211.6316917122,33.3554178973,140.2571696733,61.5345610124,2714.4188944667,159.0801810444,4574.6533179333
"HSPD1",278.29027706,1591.1523656889,682.11104746,802.3067470667,807.9491638,1040.3868840222,2043.9070889111,1164.9235800667,529.8069162933,55.8317835669
"HSPE1",77.2926445257,672.42901874,344.4854369556,497.4497230133,479.7776698644,420.2289721344,986.9033190889,478.2033235933,713.4843117922,175.1995472711
"HSPG2",39.1916552656,41.7750049067,34.53899777,39.7607651849,31.5522508324,74.891459718,339.6648344733,30.3225243,25.0453247609,33.0695564164
"HSPH1",45.8403215118,635.2474544644,223.5582581044,536.6300814644,482.4289868311,510.8211803511,922.8212743111,781.3695294,422.1302630589,345.7114713422
"HTA",67.9030917298,46.0503772804,66.5939737679,42.3390594651,57.2579002203,42.2388834319,45.7472903217,70.8922724751,54.4472995318,38.4032550179
"HTATIP2",27.9518505244,35.126666198,33.9351369794,36.4980941518,29.6706963218,34.5940230499,30.5136483936,44.9037727626,29.3769882099,39.7691183702
"HTATSF1",112.02557262,795.2907696222,207.4639787533,216.0855891489,475.4945848378,271.9717483922,246.2710714156,270.3659875211,885.654095,463.6681877178
"HTN1",13.8111722051,12.3679464228,14.3814850291,12.9031035989,14.9602249696,13.1810155564,12.2628290753,13.5654206913,14.5466814289,12.4880705847
"HTN3",11.767325926,11.3097456886,11.503441783,10.7266837977,11.1195668195,11.9956779013,11.5595520118,11.4203398013,11.7512050213,10.5121826643
"HTR1A",34.97577483,34.7905244007,36.6520377776,37.302282208,35.5230419784,30.1649055077,33.3116113236,31.7117465896,37.5846304016,35.4915987604
"HTR1B",28.6816204847,24.138688648,27.5510814618,24.0719825422,25.2849298584,22.3144759628,26.6388291364,23.9102110278,29.7223956727,34.2370460711
"HTR1D",19.2279866813,18.8347561651,21.7261070598,19.6779343551,19.427445096,18.0816438136,23.1877140264,18.5460850033,19.7603502464,18.9340372324
"HTR1E",34.8006841631,20.8586002107,29.2905406816,19.9230800379,26.411007122,21.3117522344,21.5079299804,24.1211080627,25.4221578149,27.9204868791
"HTR1F",19.3858239462,17.1175834007,21.1708524671,17.1387016102,19.6500612507,20.1643227247,17.7737079031,21.053611452,57.4544462352,19.9820667891
"HTR2A",20.3654533896,18.8347561651,26.1322280154,19.1698532349,19.930279482,75.9636222542,16.8188851644,14.3909945302,20.769914774,29.348089358
"HTR2B",13.4320141622,14.8639986778,13.3944286073,95.9117399689,14.0647893109,162.2866171489,76.856804616,11.9998214791,12.9292663896,13.9434230247
"HTR2C",10.7266837977,12.3679464228,11.1258318195,10.481830576,10.8333321136,11.4320434176,10.7519276616,10.5040309946,10.9019696324,11.874123754
"HTR3A",28.6816204847,22.9485512491,26.8637171156,24.7633167536,24.4364369778,22.3805951234,23.1877140264,28.9463000309,25.9583666467,28.4410540157
"HTR3B",29.7681640002,24.138688648,27.7022694018,24.8082711677,24.6726783687,18.0816438136,21.1368080998,30.8578783689,24.0611990884,24.9810355353
"HTR3C",38.62732305,26.8161334151,37.3750232029,27.0831197678,33.6190172834,22.7271069676,26.5312774489,35.0420715689,30.4639496033,30.4424724604
"HTR4",19.7011568727,16.221458023,17.9466101158,14.164995508,15.1418486664,14.1258868642,13.9424859469,13.8478086842,15.9005877727,14.5609854104
"HTR5A",30.2989049969,24.138688648,28.921338292,29.7103186987,26.5248931524,23.8365425604,25.7060969553,26.4208674378,27.7022694018,35.6458208147
"HTR6",41.3776002567,29.7324656031,40.0150784642,30.8750945673,41.0493368253,26.3214069419,28.1971922409,35.2473940536,29.7223956727,29.0972917033
"HTR7",14.6617169951,13.3899536729,16.323781323,22.3497750929,13.344321514,15.1823823616,14.2406991744,34.7967438819,11.6155564007,16.2845756896
"HTRA1",39.8075574041,32.2720233402,64.2015579022,214.8336096989,35.2758431533,3161.3613620889,931.5661706667,674.60182304,52.2238031822,50.1880749567
"HTRA2",348.3194669533,453.79635552,136.2557320011,153.9560915911,281.5431613889,211.07391855,237.58179304,136.2332032044,266.6860122089,206.3041226378
"HTRA3",51.9090019269,35.126666198,43.98159307,37.0362890097,35.2378476119,55.1408748152,57.0220989513,41.4215217446,61.16833404,45.3606328364
"HTRA4",21.1449048153,20.0665704202,19.117162884,470.5185870933,20.8509792772,22.6230199644,17.4087795631,14.632568848,39.6279490833,28.3190777116
"HTT",89.2572199189,72.3803487567,112.7468871778,95.8421229711,140.8183269933,69.9916484776,84.9826560867,84.19324804,145.9661036556,168.4775953056
"HUNK",15.3390672524,17.1175834007,16.2800019478,15.9118237453,15.2357156802,24.1087387931,15.7666170647,28.5356565427,16.2379771753,15.8782535978
"HUS1",90.9657767556,208.7051410822,244.5277667289,197.6287511267,154.08120584,153.9839489489,206.7217337844,206.6043603,111.9632324022,179.3916567811
"HUS1B",12.8006857693,18.8347561651,16.9104958644,12.773430884,17.9914103138,13.0402162524,12.7462686511,12.790066804,15.4439786184,13.4931834089
