,"Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Vascular_Endothelial_Cells","Keratinocytes","Blood_CD34._cells","Platelets"
"MRPS5",71.5493453848,96.3712133556,93.1601284611,88.2124612389,107.6712159467,71.9125650018,72.1777855961,74.7824150536,88.6615796,70.2457896423
"MRPS6",560.9927727622,1630.9927153778,677.5518472011,1232.3134049111,1528.711848,1095.7770472667,544.4395346133,1043.7461451667,1002.2120138889,758.6638487378
"MRPS7",55.0234350298,510.1596142967,252.9277681389,394.7452762356,262.0870906178,381.7358522922,472.6809654444,330.96675264,297.47207277,60.747638764
"MRPS9",30.1411638384,431.5141887089,131.7531813356,172.6249015011,342.7607450456,244.1762458733,265.3106460333,377.5663054867,538.4705382711,155.2012568378
"MRRF",61.2111128769,200.8638738811,158.8104779611,190.1683484156,197.2842887844,160.6260197467,240.8999624022,238.9498151511,212.3839952567,181.6334090156
"MRS2",20.3557776162,42.9593991636,31.9870096082,42.5980085442,41.2521217587,35.2510020801,39.775786812,45.8859323001,40.2101380243,40.0666640247
"MRTO4",47.6672336038,229.9654707267,78.087259413,144.5586262511,115.6031335867,157.0252844333,136.5022354056,164.2796142678,179.2424302511,49.6755698958
"MRVI1",285.1674088667,28.0016422118,56.3276721004,33.3947605353,31.4878675724,86.3217426667,54.5011076394,41.4174356809,34.7451545102,114.5125547989
"MS4A1",43.9350609404,31.3648300993,43.2538412412,22.5111412147,31.9269028449,14.9990622091,14.7623538539,14.4028319127,20.3305245941,524.6774041856
"MS4A12",12.5863978378,13.6287535202,12.8142838532,12.9844868302,13.0572721676,12.6685396148,12.9648450596,12.959724803,12.4222945722,14.9602249696
"MS4A14",20.2447902162,17.1588408247,282.1138395222,164.8782179978,18.7625880944,15.2937083167,17.3558266704,15.2278286507,19.9617971738,24.2993952513
"MS4A15",12.4903659402,14.5573529318,13.1710229889,12.7855165178,12.9505768822,13.6574397731,13.6075639624,12.9321846794,12.9155373329,13.5353132469
"MS4A2",14.8311191487,13.8111722051,15.8104693051,12.9745688227,13.6498818524,13.0870553913,13.3407783807,12.4312439708,21.7542130302,14.6039456293
"MS4A3",43.4075269381,11.2036850206,25.2885370584,11.8087412991,15.4043031744,10.7511566394,10.7099244576,10.2458649942,76.9240140484,13.1283634256
"MS4A4A",23.5234516576,37.1985186013,190.34707902,707.8709149244,19.4039561793,16.259810128,17.3160460544,16.4085347498,41.2778385884,23.6521343204
"MS4A5",34.8818772204,21.757885698,27.6375893656,28.7216878223,24.9002401633,21.4216624136,21.1842758189,19.6166037149,22.7705898259,34.0232228613
"MS4A6A",184.1489268333,30.8028919489,566.9969855867,145.1644518911,39.6952307987,26.8603900416,29.0859334369,26.56792506,81.3230544164,90.6888232011
"MS4A6E",12.6186334316,25.6813538278,14.111120638,24.8646892262,11.7616136558,11.019762929,12.2064163462,11.0769092756,10.9092780557,12.4614613789
"MS4A7",44.9609378243,16.881061668,1540.1383811111,1525.0657258444,24.3438318818,16.4915856156,16.1016620742,15.9321913028,62.7705505988,64.8349402687
"MS4A8B",51.2147240503,39.6397746359,39.825707538,42.5715646162,39.1353077396,33.023254872,37.3619004556,31.1716870176,34.201413934,43.4261299762
"MSC",28.8357129982,126.28995398,74.1970311704,92.7510812311,35.9477516716,61.1246209868,26.4464473436,27.5780928702,31.4546241576,47.6701768589
"MSH2",27.1049009802,618.7147512933,41.69564969,90.9831144044,224.5387055333,149.0537311244,227.7588432378,127.9585446489,357.2025346733,25.6608436358
"MSH3",39.6131669138,71.3555358836,41.195025978,40.4334404422,52.0659953356,49.7433920989,52.6220719348,50.6215808513,48.0088926576,30.0939569464
"MSH4",11.3887808955,10.0842765279,11.0503848478,10.7908423747,10.8705477593,10.7865767414,10.369414899,10.5352776449,10.7306934422,11.4395602924
"MSH6",35.44286596,116.1223417533,46.3563038067,43.1706679542,57.8823304157,73.5171197553,66.3604089963,43.3658788869,70.8770035822,27.7813342824
"MSI1",21.0492943127,18.5985897073,19.5725656771,20.0214516296,18.5212219396,18.1205230646,19.4921473793,18.0186037349,18.789854,23.4480883334
"MSI2",50.6250788013,82.2043709578,38.5037566639,28.8044127031,71.2287444929,34.4308965536,33.2565782884,36.3548533236,125.7883826956,43.8536007589
"MSL1",899.1604136222,253.7515224911,387.2497643978,324.1845286767,358.2910398322,276.40336614,257.1074767933,276.2394126533,271.0717229378,627.5646614333
"MSL2",850.6017100667,234.7612160433,421.1214539311,165.3966450767,314.9250425033,124.3310183856,100.1111215156,147.5049322878,202.7849452111,36.4292417734
"MSL3",277.6527920633,153.5107686411,228.0903519378,139.9616073678,271.9105678289,95.7791549322,101.2255593611,93.7215894311,160.2130368378,191.1663282444
"MSLN",14.3121802171,15.1656230929,15.0517839367,14.6424172389,14.413909258,14.0603169433,14.6163720351,41.9395699428,14.0623869433,15.7231982267
"MSMB",10.5710292904,10.3351907119,10.4088313001,11.0229596966,10.2075717217,10.3761748406,10.3546201388,19.3997076276,10.1519456002,10.9353055771
"MSN",4768.9388276,3911.7614233333,4553.1536712444,3647.2603800667,3335.0104521333,2555.8257377778,3601.0804549556,1803.1355501556,2964.2430125778,4088.6100147111
"MSR1",16.6721684046,16.5730734932,26.2176474117,185.8773647978,14.8741785231,15.9310852436,16.3129248668,13.8719114058,16.29824522,14.1730292912
"MSRA",421.7321182689,119.0442123322,417.9954681511,762.5475868667,202.9009993844,348.7007249722,445.5312613822,266.7304797044,550.7122891844,1638.3688962444
"MSRB2",173.1838323344,28.2177393289,90.2522493011,75.8030455776,64.9265949298,143.8500721867,98.1613302467,101.7952774078,124.06033712,73.5040483686
"MSRB3",74.6849722847,27.7422760122,41.195025978,30.9989458594,31.5952366596,479.6184011222,350.6968044711,67.5867709849,198.8431318556,383.3719284289
"MST1",155.0077554489,85.3176298689,117.5385543344,126.1444116667,151.2849481733,116.8512443489,104.2295128444,145.9011442689,124.80479566,151.3728189489
"MST1P9",35.476549228,30.7603229251,32.1222939387,33.0440145456,40.26683583,32.0238828938,31.1675541832,36.8470065891,32.017101252,34.1696529551
"MST1R",45.7441778342,41.6634367749,40.101383696,37.0291746593,39.4514069341,36.2019668696,36.2364536509,193.3302563667,37.9845222587,78.4352821824
"MSTN",7.7353296631,7.571685389,7.5816971945,7.6075678927,7.8154967875,11.2523927097,7.9202154019,8.040951749,7.7149147964,7.7916816373
"MSTO1",103.0761878378,160.4697175878,112.2055805833,138.6473356067,250.8271678444,199.6851283644,122.6446632244,180.0389380333,242.3326654111,77.3195849493
"MSX1",42.4669573718,33.376945732,32.5148978409,33.76949388,34.2279410296,149.2164906422,49.646861525,31.7196707269,28.7171131547,38.8175804204
"MSX2",13.7670686773,13.5144049153,14.0029459744,13.6014836809,15.2600770589,19.7303899138,14.4681652751,27.910027003,14.2266993869,15.4122542893
"MT1E",412.4031245389,767.2753688778,631.9000856822,1266.9234906444,433.6098983111,1864.9647704,1607.9777794,1510.8700469111,315.2834896522,373.9658141867
"MT1F",348.4976035022,405.9283675611,490.5581644444,884.8955426889,396.1280356533,559.5694821133,533.4817716444,456.7516937533,246.6856709667,157.4859219244
"MT1G",120.3788369044,99.4757875756,135.5974380889,195.31003628,88.0730314933,156.2849184756,140.8833904511,135.0057906844,80.0933384522,96.5969753611
"MT1H",485.8592116378,891.6822716222,839.1385317556,1601.0064291778,561.8157734289,1885.3728716,1797.2262497889,1568.4008024444,396.2789346733,356.8222831378
"MT1M",19.1009030422,12.9505768822,28.1389219286,62.0648865744,17.7440419578,50.1756567909,52.95672358,24.0341715903,17.1561582358,20.7283363807
"MT1P2",558.4572332833,966.3714240222,980.2920381556,1767.9483602,689.8371092156,2043.9070889111,1956.1370591333,1626.6014918444,485.5115408511,383.93658797
"MT1X",369.9277053978,898.7587832222,783.1607205778,1128.9861424667,528.4821446044,1327.8297557333,1209.0705551556,1348.7853891778,346.2725261478,346.4072246167
"MT2A",856.1018375556,2090.3178617,1782.4118020222,2952.0787314889,1312.2286551111,3911.7614233333,3854.0872402667,2781.2523759556,966.9776599111,778.2984486222
"MT3",76.7376891983,51.2904616947,55.4510611808,56.1685414151,59.7979679636,48.9084458448,47.3483535396,46.7594119609,51.876066205,66.3413337247
"MT4",113.9813265089,68.1372070138,66.9008488618,69.2617137773,66.9118900033,56.7939292229,56.4855995598,63.6064362367,53.8017546772,51.2677342133
"MTA1",49.0589301129,166.3502188878,95.9738524733,78.9474182033,136.9354972933,149.0537311244,179.0287446522,111.0464607822,151.0809385933,39.9670374477
"MTA2",29.8983717607,56.6607091287,34.9250716458,28.1503542618,32.5363644282,29.6480381269,34.1270718204,39.3095802104,28.8693034007,25.069033758
"MTA3",42.4087316798,51.055801152,40.3320964547,47.5713209273,70.5543883231,84.1531230144,108.3972766244,93.8566270756,43.6311027051,61.4694369811
"MTAP",21.9234785111,32.9393327996,27.3906280813,33.9687576943,32.6751496067,42.806543986,37.2817624182,45.1514021158,35.1349842944,22.5138922778
"MTBP",10.3761748406,15.3187295544,10.5947879581,10.5826431544,11.9484547124,11.1663125704,11.2944914337,10.8456923803,12.3062569244,10.8340249914
"MTCH1",2125.5016599667,1650.6788626,2512.0186324111,3092.6849504667,3565.8827797333,3565.8827797333,3319.0298881333,2964.2430125778,2897.9157517111,1667.5866309333
"MTCH2",74.1468754794,478.9406726,331.9522854711,533.3672716644,214.6643231956,608.5227503978,663.4631797356,575.4708763733,399.0746751778,139.8709416922
"MTCP1",14.965052672,34.5537111516,19.9256175042,21.2868529313,25.7677474771,15.9227832982,21.4230383469,14.926282988,22.9792729809,18.1057019682
"MTCP1NB",122.5977179333,357.1478277878,268.3711326022,370.0770758044,421.9309435111,431.6599798467,437.9097860189,362.4229197922,354.5882533189,148.8914731533
"MTDH",182.16666694,627.9528877578,603.8548388889,590.6852887178,665.52034592,540.7390657733,625.5793227544,485.8592116378,772.3554563111,381.0890072756
"MTERF",57.2641954793,97.7767999178,57.3580526449,74.5458865244,107.8752783444,57.1486391249,54.6297369263,78.8474981058,98.8394877244,78.6696519276
"MTERFD1",23.5362892718,409.8966028311,143.7563584144,234.0904005556,435.6689704511,276.9530878844,228.2999460011,376.0563638111,411.4328873822,149.6600747822
"MTERFD2",82.2316134478,151.4972839756,120.4974531289,100.0366288233,351.0731284533,109.7599726022,125.4386459578,131.5739068167,161.1913325544,239.7426358289
"MTERFD3",49.1257172767,81.6088661144,25.6989640899,38.4609845289,75.5719788093,58.5869301609,77.5094244229,78.1024549049,67.4150361542,35.4181432302
"MTF1",512.0977436156,171.1993122133,541.1612357311,412.8819063911,210.2154875944,150.3613785822,117.4747940067,254.5623747678,186.9274641889,134.5797487767
"MTF2",153.4085313867,349.7103565867,193.3842775289,151.8856454422,311.96036376,71.6979901804,144.4303384267,124.2818366689,469.1602316556,76.343417742
"MTFMT",65.9394732989,148.13705788,30.9835894908,51.352108081,39.8382543938,85.6831922467,78.1818731464,72.5715312689,39.3366217598,20.7283363807
"MTFR1",19.2308028258,58.4257418942,32.8137102246,38.8479707068,31.2709364831,70.8867063064,70.9477288171,71.1054282418,41.2295227413,27.1830774896
"MTG1",126.8709086578,201.0907014111,150.8196167356,183.7206731378,183.0192691622,168.2783302544,254.2308110633,201.77893848,260.84043087,69.0630117613
"MTHFD1",40.7247559489,1349.9782085333,155.0649541267,549.8634177356,362.81701906,501.5455636289,484.9814731267,460.76063741,920.4543554333,156.1072352833
"MTHFD1L",19.8333637853,59.5620164929,28.2634821793,35.4233895682,38.184050023,74.0493709167,67.6781297129,43.4865080149,47.4919814348,20.3654533896
"MTHFD2",132.42636206,551.8277156222,325.0112724356,405.5138039822,220.0774478911,335.1075771556,128.5415106944,222.33426092,266.4152483589,214.13983118
