	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.06822	0.3198	0.18513	0.02013	0.37645
B	0.08556	0.30777	0.2134	0.0	0.34914
C	0.01754	0.05272	0.08517	0.00031	0.82299
D	0.02095	0.0587	0.08059	0.0	0.82813
E	0.0105	0.09357	0.17036	0.0102	0.71121
F	0.02331	0.12892	0.57884	0.0	0.20146
G	0.08292	0.42238	0.12301	0.15881	0.15921
H	0.05441	0.74896	0.03184	0.0	0.12641
I	0.04879	0.73932	0.03781	0.0	0.11739
J	0.02344	0.0	0.06967	0.0	0.87608
K	0.00742	0.0	0.13558	0.0	0.83438
L	0.00051	0.04526	0.18817	0.0	0.75081
