	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.111	0.1926	0.1468	0.0144	0.3516
B	0.1143	0.2082	0.1205	0.0187	0.3755
C	0.0324	0.0	0.0584	0.0072	0.8413
D	0.0339	0.0	0.1083	0.0	0.7909
E	0.0219	0.0165	0.1423	0.0098	0.7357
F	0.0181	0.0506	0.5434	0.009	0.2782
G	0.0693	0.2433	0.0772	0.2084	0.157
H	0.0489	0.5317	0.0055	0.0028	0.1105
I	0.0562	0.5279	0.0034	0.0	0.1048
J	0.0287	0.0	0.0514	0.0	0.8461
K	0.0268	0.0	0.0764	0.0	0.8327
L	0.0	0.0	0.1046	0.0	0.7524
