	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.1222	0.0807	0.3213	0.053	0.0948
ascites7873R2	0.1182	0.0879	0.3906	0.0614	0.0921
ascites7882R1	0.1012	0.0869	0.2089	0.0615	0.113
ascites7882R2	0.0896	0.0959	0.2075	0.0576	0.1129
ascites7892R1	0.1046	0.1186	0.0855	0.1046	0.1433
ascites7892R2	0.0999	0.1052	0.1252	0.1045	0.12
