	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.52475	0.45212	0.0	0.0
HD30PBMC1	0.48359	0.42091	0.0	0.0
HD30PBMC3	0.55446	0.44554	0.0	0.0
HD30PBMC7	0.56076	0.43336	0.00589	0.0
HD31PBMC0	0.53727	0.43358	0.0	0.0
HD31PBMC1	0.55324	0.44676	0.0	0.0
HD31PBMC3	0.54593	0.45407	0.0	0.0
HD31PBMC7	0.5479	0.4521	0.0	0.0
