	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.32152	0.40013	0.02298	0.23313
HD30PBMC1	0.27145	0.46522	0.01558	0.21974
HD30PBMC3	0.3677	0.38172	0.02379	0.20229
HD30PBMC7	0.39744	0.35203	0.04053	0.19619
HD31PBMC0	0.37215	0.46882	0.06384	0.07061
HD31PBMC1	0.3861	0.45672	0.05527	0.08872
HD31PBMC3	0.38977	0.45595	0.03688	0.09161
HD31PBMC7	0.43046	0.41837	0.03547	0.0926
