	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.0	0.23336	0.5302	0.08838	0.01026
ascites7873R2	0.01809	0.18902	0.58744	0.07053	0.01451
ascites7882R1	0.02683	0.26194	0.55817	0.01586	0.02009
ascites7882R2	0.05359	0.26969	0.53802	0.03391	0.0
ascites7892R1	0.02742	0.32628	0.45144	0.07926	0.03065
ascites7892R2	0.04822	0.33685	0.43269	0.05895	0.03694
