	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.1374	0.081	0.42671	0.01	0.03885
ascites7873R2	0.10794	0.09837	0.54526	0.00928	0.00696
ascites7882R1	0.01285	0.08426	0.40837	0.02321	0.04659
ascites7882R2	0.05217	0.07167	0.41564	0.02097	0.02039
ascites7892R1	0.1749	0.17861	0.23634	0.05078	0.02997
ascites7892R2	0.0852	0.13936	0.32384	0.07076	0.00456
