	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.07473	0.22271	0.20372	0.06678	0.13348
ascites7873R2	0.07321	0.22224	0.21589	0.067	0.12909
ascites7882R1	0.08152	0.24046	0.1609	0.06036	0.14148
ascites7882R2	0.08091	0.24539	0.16429	0.06059	0.13877
ascites7892R1	0.08603	0.26462	0.13392	0.07182	0.13718
ascites7892R2	0.08277	0.25864	0.14647	0.0705	0.13572
