	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.47152	0.16723	0.12949	0.17854
HD30PBMC1	0.44196	0.18966	0.13057	0.17827
HD30PBMC3	0.51189	0.14608	0.1295	0.16203
HD30PBMC7	0.50948	0.1364	0.15114	0.15463
HD31PBMC0	0.47505	0.18865	0.15688	0.10588
HD31PBMC1	0.48987	0.18795	0.16109	0.09689
HD31PBMC3	0.50348	0.17827	0.14341	0.11307
HD31PBMC7	0.50611	0.16925	0.14804	0.11834
