	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.25241	0.41636	0.02568	0.27241
HD30PBMC1	0.23671	0.49936	0.02804	0.19711
HD30PBMC3	0.31429	0.38565	0.02545	0.23594
HD30PBMC7	0.31584	0.35404	0.04481	0.24113
HD31PBMC0	0.3007	0.51935	0.03559	0.09678
HD31PBMC1	0.33164	0.49853	0.03658	0.08566
HD31PBMC3	0.32069	0.51878	0.02722	0.09182
HD31PBMC7	0.35126	0.4694	0.03318	0.10757
