	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.36924	0.2296	0.10751	0.10168
HD30PBMC1	0.33599	0.26122	0.10489	0.09548
HD30PBMC3	0.40521	0.20154	0.11013	0.09821
HD30PBMC7	0.40665	0.19406	0.1155	0.09545
HD31PBMC0	0.37484	0.24094	0.11272	0.07783
HD31PBMC1	0.3894	0.23153	0.11495	0.07592
HD31PBMC3	0.40345	0.23685	0.10938	0.0768
HD31PBMC7	0.40937	0.22649	0.10953	0.08027
