	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.1034	0.2807	0.071	0.0	0.277
B	0.1169	0.2907	0.0747	0.0	0.2736
C	0.0108	0.0468	0.0267	0.0	0.7111
D	0.0	0.0533	0.0227	0.0	0.6971
E	0.0349	0.0827	0.1406	0.0	0.5157
F	0.0638	0.1722	0.4106	0.0	0.1394
G	0.0829	0.3432	0.0	0.1981	0.0892
H	0.045	0.58	0.0	0.0	0.0639
I	0.0648	0.5805	0.0	0.0	0.0532
J	0.0223	0.0079	0.0	0.0	0.7439
K	0.0607	0.0323	0.1105	0.0	0.6025
L	0.0058	0.0151	0.0	0.0	0.7383
