	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.11457	0.2004	0.19633	0.09856	0.31926
B	0.11951	0.20033	0.1891	0.10025	0.31583
C	0.05859	0.11051	0.17386	0.02492	0.55141
D	0.0595	0.10862	0.18002	0.01959	0.54501
E	0.05283	0.14554	0.20373	0.06323	0.49066
F	0.06791	0.15359	0.38112	0.08774	0.25315
G	0.12	0.19324	0.16469	0.22448	0.19097
H	0.11012	0.30298	0.08769	0.10093	0.19433
I	0.10492	0.30306	0.08505	0.09545	0.18999
J	0.07339	0.0	0.16489	0.0	0.57839
K	0.07178	0.0	0.18483	0.0	0.59178
L	0.01568	0.07389	0.17991	0.0	0.53605
