	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.42654	0.38581	0.14796	0.0
HD30PBMC1	0.39354	0.39407	0.14325	0.0
HD30PBMC3	0.4658	0.35941	0.14218	0.0
HD30PBMC7	0.55075	0.33151	0.08522	0.0
HD31PBMC0	0.42363	0.39906	0.12832	0.0
HD31PBMC1	0.43977	0.39838	0.12703	0.0
HD31PBMC3	0.45788	0.39477	0.12852	0.0
HD31PBMC7	0.45573	0.3852	0.13363	0.0
