	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.32236	0.37431	0.05557	0.19094
HD30PBMC1	0.27524	0.44797	0.05645	0.14594
HD30PBMC3	0.41473	0.27773	0.06895	0.14645
HD30PBMC7	0.42709	0.26414	0.08428	0.1387
HD31PBMC0	0.42758	0.35525	0.0986	0.03202
HD31PBMC1	0.43241	0.37763	0.07942	0.02188
HD31PBMC3	0.43004	0.35291	0.07698	0.04985
HD31PBMC7	0.44022	0.32437	0.09892	0.05173
