	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.00829	0.04718	0.67298	0.08717	0.01131
ascites7873R2	0.0286	0.05678	0.65432	0.08752	0.01855
ascites7882R1	0.06088	0.084	0.47024	0.03278	0.02783
ascites7882R2	0.0608	0.10984	0.48451	0.09557	0.00784
ascites7892R1	0.04575	0.1648	0.35234	0.18211	0.01861
ascites7892R2	0.04358	0.13827	0.37524	0.17016	0.01277
