	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.0222	0.1731	0.367	0.021	0.0046
ascites7873R2	0.0248	0.1656	0.4025	0.0263	0.0096
ascites7882R1	0.0015	0.2799	0.3137	0.0164	0.0
ascites7882R2	0.0239	0.2499	0.3154	0.0291	0.0013
ascites7892R1	0.0171	0.2778	0.2426	0.08	0.026
ascites7892R2	0.0155	0.2681	0.2888	0.0723	0.0067
