	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.46746	0.2553	0.04162	0.18321
HD30PBMC1	0.37998	0.33208	0.0401	0.16951
HD30PBMC3	0.55043	0.21205	0.04054	0.14837
HD30PBMC7	0.54182	0.20738	0.05893	0.14208
HD31PBMC0	0.51353	0.28161	0.06122	0.08021
HD31PBMC1	0.57914	0.24704	0.05976	0.05852
HD31PBMC3	0.56834	0.26262	0.04335	0.08165
HD31PBMC7	0.536	0.27695	0.04811	0.09205
