	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.3741	0.3905	0.0	0.1925
HD30PBMC1	0.3074	0.439	0.0	0.1952
HD30PBMC3	0.4551	0.3408	0.0	0.1645
HD30PBMC7	0.484	0.2959	0.013	0.158
HD31PBMC0	0.4465	0.3874	0.015	0.0691
HD31PBMC1	0.4842	0.375	0.022	0.0498
HD31PBMC3	0.504	0.4004	0.0	0.0519
HD31PBMC7	0.5227	0.3508	0.0008	0.0717
