	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.0	0.21656	0.51824	0.0	0.04304
ascites7873R2	0.0	0.20915	0.56505	0.0	0.04394
ascites7882R1	0.0	0.26952	0.47872	0.0	0.05676
ascites7882R2	0.0	0.27099	0.48285	0.0	0.06057
ascites7892R1	0.0	0.35565	0.42677	0.0	0.03275
ascites7892R2	0.0	0.33246	0.42668	0.0	0.05589
