	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.47809	0.4294	0.05343	0.03909
HD30PBMC1	0.42542	0.48236	0.05301	0.03921
HD30PBMC3	0.51207	0.3905	0.06892	0.02851
HD30PBMC7	0.52013	0.36059	0.0877	0.03157
HD31PBMC0	0.46232	0.44844	0.07141	0.01783
HD31PBMC1	0.48443	0.43462	0.0681	0.01285
HD31PBMC3	0.50934	0.42996	0.06035	0.00034
HD31PBMC7	0.52316	0.411	0.06022	0.00563
