	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.15981	0.53587	0.0	0.30432
HD30PBMC1	0.1153	0.60239	0.0	0.2823
HD30PBMC3	0.23641	0.49231	0.0	0.27128
HD30PBMC7	0.25936	0.45587	0.00729	0.27747
HD31PBMC0	0.30329	0.66199	0.00948	0.02524
HD31PBMC1	0.33322	0.64913	0.01765	0.0
HD31PBMC3	0.3429	0.64013	0.0	0.01697
HD31PBMC7	0.33814	0.6038	0.00015	0.05791
