	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.4056	0.3825	0.0465	0.1552
HD30PBMC1	0.3666	0.4548	0.0503	0.1163
HD30PBMC3	0.4992	0.3272	0.0404	0.1138
HD30PBMC7	0.4921	0.3022	0.0689	0.1112
HD31PBMC0	0.4845	0.394	0.0736	0.0
HD31PBMC1	0.5025	0.375	0.0826	0.0
HD31PBMC3	0.5395	0.3981	0.0559	0.0
HD31PBMC7	0.5493	0.3614	0.0674	0.0111
