	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.4443	0.2021	0.1071	0.1915
HD30PBMC1	0.4227	0.2273	0.1078	0.192
HD30PBMC3	0.4798	0.1808	0.1142	0.1733
HD30PBMC7	0.4926	0.1599	0.141	0.157
HD31PBMC0	0.4923	0.1895	0.1446	0.0975
HD31PBMC1	0.5009	0.1931	0.1467	0.0904
HD31PBMC3	0.5132	0.1995	0.124	0.1028
HD31PBMC7	0.5241	0.1775	0.1304	0.1109
