	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.01108	0.20006	0.729	0.01005	0.01313
ascites7873R2	0.00906	0.14654	0.79218	0.0096	0.01266
ascites7882R1	0.0134	0.23726	0.67553	0.00788	0.01867
ascites7882R2	0.01288	0.25619	0.66338	0.00859	0.01504
ascites7892R1	0.0125	0.37677	0.53465	0.0114	0.01624
ascites7892R2	0.0115	0.27115	0.65389	0.00887	0.01525
