	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.02009	0.46293	0.1394	0.02028	0.30842
B	0.02572	0.44551	0.14938	0.01715	0.31021
C	0.0	0.11049	0.07759	0.0	0.78476
D	0.00081	0.1192	0.07035	0.0	0.78347
E	0.0	0.16114	0.1991	0.00759	0.57305
F	0.0	0.29296	0.3657	0.01958	0.2706
G	0.0134	0.57818	0.101	0.13752	0.13862
H	0.0	0.75882	0.07018	0.00154	0.06567
I	0.0	0.76132	0.06663	0.0	0.07591
J	0.01625	0.03059	0.06919	0.0	0.83823
K	0.00503	0.01019	0.15653	0.0	0.77751
L	0.00024	0.11728	0.08341	0.0	0.74976
