	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.05634	0.04668	0.18174	0.26328	0.34503
ascites7873R2	0.04582	0.03877	0.20725	0.26916	0.37106
ascites7882R1	0.06048	0.09966	0.24241	0.15545	0.31138
ascites7882R2	0.0602	0.09936	0.24603	0.14645	0.32919
ascites7892R1	0.09487	0.10116	0.25146	0.15047	0.27063
ascites7892R2	0.0769	0.11102	0.25515	0.1528	0.31649
