	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.29829	0.35998	0.18337	0.06925
HD30PBMC1	0.26867	0.44024	0.14656	0.03921
HD30PBMC3	0.33765	0.26922	0.23761	0.07477
HD30PBMC7	0.38062	0.22051	0.24087	0.07213
HD31PBMC0	0.27258	0.33306	0.24866	0.05101
HD31PBMC1	0.29593	0.29893	0.25937	0.05735
HD31PBMC3	0.32936	0.31099	0.23429	0.0263
HD31PBMC7	0.34983	0.29792	0.22765	0.03949
