	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.04026	0.07278	0.76596	0.01501	0.01934
ascites7873R2	0.03443	0.09007	0.74333	0.01895	0.02509
ascites7882R1	0.03477	0.09129	0.64517	0.01799	0.02841
ascites7882R2	0.03814	0.10427	0.65583	0.01549	0.03145
ascites7892R1	0.03625	0.12854	0.56625	0.02671	0.03363
ascites7892R2	0.0399	0.11724	0.61446	0.01935	0.03455
