	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.19891	0.0065	0.39457	0.0	0.2636
ascites7873R2	0.16862	0.00425	0.4826	0.0	0.24034
ascites7882R1	0.18216	0.01455	0.33579	0.0	0.2631
ascites7882R2	0.17849	0.01171	0.31727	0.00284	0.26965
ascites7892R1	0.22879	0.06578	0.2133	0.02613	0.26092
ascites7892R2	0.19983	0.03169	0.24221	0.03688	0.27396
