	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.061	0.48574	0.10904	0.00418	0.34005
ascites7873R2	0.09034	0.40132	0.14925	0.0047	0.35438
ascites7882R1	0.04737	0.4128	0.08695	0.0	0.45288
ascites7882R2	0.04905	0.43366	0.08432	0.0	0.43297
ascites7892R1	0.06157	0.49352	0.11893	0.0	0.32599
ascites7892R2	0.05272	0.43127	0.10433	0.00288	0.4088
