	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.069	0.40975	0.23614	0.079	0.20612
ascites7873R2	0.07225	0.4053	0.23999	0.08014	0.20232
ascites7882R1	0.07821	0.42791	0.18896	0.07398	0.23094
ascites7882R2	0.08094	0.43466	0.19127	0.07329	0.21984
ascites7892R1	0.07549	0.45534	0.16827	0.08413	0.21677
ascites7892R2	0.07564	0.44427	0.18376	0.08242	0.21391
