	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.18208	0.20144	0.214	0.12099	0.28149
ascites7873R2	0.16777	0.17824	0.2131	0.13662	0.30427
ascites7882R1	0.19356	0.18353	0.21769	0.00218	0.40304
ascites7882R2	0.17735	0.21148	0.21835	0.00276	0.39007
ascites7892R1	0.14195	0.30051	0.21411	0.0	0.34344
ascites7892R2	0.153	0.32067	0.22018	0.00539	0.30075
