	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.2218	0.1908	0.1267	0.095	0.3657
B	0.2192	0.1906	0.1246	0.0911	0.3745
C	0.1218	0.0664	0.0703	0.0849	0.6566
D	0.1221	0.0511	0.0723	0.0826	0.672
E	0.1239	0.0871	0.1273	0.0741	0.5876
F	0.1427	0.1308	0.3685	0.0894	0.2685
G	0.2204	0.2367	0.0692	0.2298	0.2439
H	0.1604	0.4097	0.0626	0.0943	0.2731
I	0.18	0.4309	0.0701	0.0838	0.2352
J	0.1108	0.039	0.031	0.0956	0.7236
K	0.1303	0.0477	0.1051	0.0636	0.6534
L	0.1083	0.0504	0.0465	0.1104	0.6844
