	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.11737	0.10095	0.15658	0.05804	0.15739
B	0.11656	0.10196	0.15508	0.05782	0.15583
C	0.10654	0.08785	0.15776	0.05449	0.17887
D	0.10801	0.08823	0.15613	0.05173	0.17588
E	0.10387	0.09161	0.17113	0.05558	0.16772
F	0.10928	0.09933	0.18583	0.0599	0.13752
G	0.11647	0.10825	0.13589	0.07232	0.14185
H	0.11784	0.1187	0.14354	0.04689	0.14463
I	0.11452	0.11685	0.13647	0.05149	0.14135
J	0.11531	0.07349	0.13654	0.03829	0.18287
K	0.11025	0.06028	0.18445	0.0459	0.18358
L	0.09224	0.0891	0.12649	0.05368	0.1806
