	NK	T Cells	Monocytes	Neutrophils	B Cells
ascites7873R1	0.029	0.1675	0.36	0.0518	0.0876
ascites7873R2	0.0383	0.1645	0.3664	0.0527	0.084
ascites7882R1	0.0659	0.1822	0.2364	0.0672	0.0997
ascites7882R2	0.0658	0.1887	0.2364	0.0657	0.1108
ascites7892R1	0.0573	0.2186	0.1535	0.1037	0.1026
ascites7892R2	0.0531	0.2172	0.1671	0.1129	0.0922
