	T Cells	Monocytes	B Cells	NK
HD30PBMC0	0.16288	0.63031	0.14395	0.06287
HD30PBMC1	0.12724	0.75209	0.10936	0.01131
HD30PBMC3	0.22128	0.53825	0.16105	0.07942
HD30PBMC7	0.22957	0.52034	0.17406	0.07602
HD31PBMC0	0.17357	0.56338	0.19057	0.07248
HD31PBMC1	0.19088	0.518	0.20477	0.08635
HD31PBMC3	0.20604	0.57413	0.18032	0.03951
HD31PBMC7	0.2114	0.57974	0.17609	0.03277
