	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.10602	0.00689	0.23737	0.01353	0.4335
B	0.10672	0.00685	0.23764	0.01348	0.43216
C	0.0894	0.00591	0.22807	0.01235	0.47773
D	0.09304	0.00596	0.22953	0.01282	0.47618
E	0.09252	0.00612	0.24106	0.01269	0.45906
F	0.09673	0.00682	0.29171	0.01421	0.38425
G	0.11039	0.00755	0.22386	0.01624	0.42413
H	0.10315	0.00815	0.21236	0.01382	0.44023
I	0.10607	0.00819	0.21462	0.01392	0.43925
J	0.08826	0.00432	0.21428	0.01264	0.48481
K	0.08849	0.00411	0.23202	0.01145	0.47705
L	0.0876	0.00564	0.21472	0.01181	0.47605
