AllCells	B Cells	Dendritic	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	0.65037777146317	-0.385094524591192	NA	0.335842042195139	0.602151866086013	-0.230460738629327	0.637718082128588
Cibersort-HPCA	0.830038096296945	0.0194033572813544	0.49294979073585	0.799967855979885	0.643587993516261	0.755935724144353	0.95421249546894
Cibersort-ImmunoStates	0.896070925559111	0.799453207242805	-0.0267531680055093	0.844436705523708	0.929812401779126	0.837745179286291	0.977570432901646
Cibersort-LM22	0.866858360477996	0.899207427121255	-0.745862119648412	0.7859769934322	0.802722478565549	0.914330485619824	0.922130221804591
Decon-BLUEPRINT	0.477117328060307	-0.104934632472657	NA	0.0516944924625174	-0.0698529865216398	-0.232280615891913	0.653233186348012
Decon-HPCA	0.175660505291804	-0.305512992865051	-0.351296465887968	0.0018787478065636	-0.390645741707002	0.464670850661512	0.699192659732229
Decon-ImmunoStates	0.518555352678773	-0.175803785064256	-0.761142134702898	0.336170283133659	0.454631829716726	0.430907988384312	0.903706315461104
Decon-LM22	0.66023109103955	0.541998821098775	-0.243378792018448	0.380231695431698	0.740127461156963	0.653922282851357	0.884188195072184
dtangle-BLUEPRINT	0.587432376336172	0.109657149593764	NA	0.336450781570228	0.573869362426921	0.419418590033554	0.843486396667061
dtangle-HPCA	0.504683392183903	0.12143610344125	-0.527756831377102	0.185602985693909	0.556890564699357	0.438788514186334	0.454773879884917
dtangle-ImmunoStates	0.369313198257941	0.314862586617284	-0.849904560609834	0.251018096140282	-0.199724596055489	0.390778658740756	0.482906580508937
dtangle-LM22	0.617267803719116	0.50204988137091	-0.667409704435144	0.272335955303461	-0.135026549114	0.41183569487292	0.627227471544147
GEDIT-BLUEPRINT	0.842053862784887	0.57568993472329	NA	0.787048583194209	0.938335820822018	0.916016126307279	0.899383187028553
GEDIT-HPCA	0.881469154390411	0.639206241807361	-0.941235181405623	0.816326797441063	0.893911079513543	0.910677564445629	0.983706213415305
GEDIT-ImmunoStates	0.896286170885577	0.229170577389707	-0.905327829881104	0.741242409859403	0.953912499649079	0.826541151821014	0.974444842718816
GEDIT-LM22	0.909910369441012	0.757200430167949	0.892436008414224	0.705016518969793	0.89591760552361	0.946204281923155	0.966500998236925
xCell-default	0.633818121514187	0.710915366248289	0.723264647539212	0.447254417812041	0.285528686098614	0.727035855482838	0.743878292092759
