AllCells	B Cells	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	0.122809	0.0492891666666667	0.175379166666667	0.026445	0.12625	0.236681666666667
Cibersort-HPCA	0.0932993333333333	0.0629583333333333	0.1355275	0.0243816666666667	0.105875	0.137754166666667
Cibersort-ImmunoStates	0.0828368333333333	0.0357066666666667	0.07499	0.0314525	0.103	0.169035
Cibersort-LM22	0.0635641666666667	0.0392625	0.0632366666666667	0.0254125	0.0845525	0.105356666666667
Decon-BLUEPRINT	0.209737	0.354314166666667	0.170320833333333	0.0408333333333333	0.12625	0.356966666666667
Decon-HPCA	0.236200166666667	0.0661666666666667	0.200395	0.323589166666667	0.159275833333333	0.431574166666667
Decon-ImmunoStates	0.1404	0.0434791666666667	0.13769	0.0539608333333333	0.1774875	0.2893825
Decon-LM22	0.127987666666667	0.04672	0.137466666666667	0.0555158333333333	0.141148333333333	0.2590875
dtangle-BLUEPRINT	0.192758333333333	0.1994975	0.1898575	0.0663225	0.143475	0.364639166666667
dtangle-HPCA	0.186333	0.1313675	0.1928775	0.0600816666666667	0.1329625	0.414375833333333
dtangle-ImmunoStates	0.187960833333333	0.0772883333333333	0.189598333333333	0.0667908333333333	0.156825833333333	0.449300833333333
dtangle-LM22	0.175237666666667	0.0685108333333333	0.1988025	0.0415033333333333	0.204068333333333	0.363303333333333
GEDIT-BLUEPRINT	0.115433333333333	0.088975	0.103816666666667	0.08625	0.0888	0.209325
GEDIT-HPCA	0.0916616666666667	0.0658	0.06825	0.0335333333333333	0.101041666666667	0.189683333333333
GEDIT-ImmunoStates	0.0804816666666667	0.041275	0.0818666666666667	0.024325	0.0793666666666667	0.175575
GEDIT-LM22	0.060135	0.0399916666666667	0.0576333333333333	0.0194416666666667	0.0725	0.111108333333333
xCell-default	0.118456666666667	0.062	0.156025	0.08015	0.0997166666666667	0.194391666666667
