AllCells	B Cells	Dendritic	Monocytes	Neutrophils	NK	T Cells	CellType
Cibersort-BLUEPRINT	NA	NA	NA	NA	NA	NA	NA	NA
Cibersort-HPCA	NA	NA	NA	NA	NA	NA	NA	NA
Cibersort-ImmunoStates	NA	NA	NA	NA	NA	NA	NA	NA
Cibersort-LM22	NA	NA	NA	NA	NA	NA	NA	NA
Decon-BLUEPRINT	NA	NA	NA	NA	NA	NA	NA	NA
Decon-HPCA	NA	NA	NA	NA	NA	NA	NA	NA
Decon-ImmunoStates	NA	NA	NA	NA	NA	NA	NA	NA
Decon-LM22	NA	NA	NA	NA	NA	NA	NA	NA
dtangle-BLUEPRINT	NA	NA	NA	NA	NA	NA	NA	NA
dtangle-HPCA	NA	NA	NA	NA	NA	NA	NA	NA
dtangle-ImmunoStates	NA	NA	NA	NA	NA	NA	NA	NA
dtangle-LM22	NA	NA	NA	NA	NA	NA	NA	NA
GEDIT-BLUEPRINT	NA	NA	NA	NA	NA	NA	NA	NA
GEDIT-HPCA	NA	NA	NA	NA	NA	NA	NA	NA
GEDIT-ImmunoStates	NA	NA	NA	NA	NA	NA	NA	NA
GEDIT-LM22	NA	NA	NA	NA	NA	NA	NA	NA
Tool-Reference	NA	NA	NA	NA	NA	NA	NA	NA
xCell-default	NA	NA	NA	NA	NA	NA	NA	NA
