AllCells	B Cells	CD4 T Cells	CD8 T Cells	Mono	Neutrophils	NK
Cibersort-BLUEPRINT	0.50052440069626	0.394186725783749	0.147815770312784	0.360261297688647	0.8332813631055	0.956063898204995	NA
Cibersort-HPCA	0.690857782943864	0.684508851277215	0.74657504621009	0.41604657891188	0.921114032822924	0.992043193090601	0.909233556042059
Cibersort-ImmunoStates	0.916517817000056	0.955851928494535	0.967915264998216	0.984970701891911	0.968207705905275	0.987550544798447	0.877421414591712
Cibersort-LM22	0.919916443230658	0.958855819442275	0.963330409423688	0.930965545664895	0.980868072197496	0.993252941512619	0.948250184689156
Decon-BLUEPRINT	0.201606871613146	-0.74680965603446	0.544161759816128	NA	0.916946649437555	NA	NA
Decon-HPCA	0.04922991719887	NA	0.796021327378274	NA	0.939439156844901	0.633214978804078	0.751991566417011
Decon-ImmunoStates	0.711661472607269	0.881884343706005	0.928690099349012	0.974980264768141	0.870250844845339	0.901380156918393	0.711339315606596
Decon-LM22	0.826667661293422	0.868112873603865	0.940038980030471	0.918506944096417	0.857778977655782	0.792467337534483	0.888779102574813
dtangle-BLUEPRINT	0.266148094206582	0.810311224569103	0.886337885374887	0.671862349432119	0.885744403559279	0.6405646264821	0.891519983572431
dtangle-HPCA	0.0910934265954182	-0.36428689850172	0.765319849184764	0.445848784650215	0.861189036870501	0.668444066214521	0.570252694320675
dtangle-ImmunoStates	0.194383808824629	0.663546059264979	0.796172192739477	0.812388113156107	0.791425473849746	0.737100677733569	0.581455459012017
dtangle-LM22	0.280196241286425	0.925033904436298	0.779179947530912	0.8745119943439	0.800527445351781	0.76959636837081	0.948179976982163
GEDIT-BLUEPRINT	0.838629950098615	0.979848907469256	0.915043176760614	0.911570225524689	0.98254082825879	0.960943747655868	0.975848068068689
GEDIT-HPCA	0.834691176285829	0.928896878074059	0.852403209604209	0.604153281327661	0.971550635465489	0.909268620416971	0.937320972499383
GEDIT-ImmunoStates	0.919029905201817	0.862518719340222	0.974766938403588	0.941570051087589	0.963427017921343	0.995043762722615	0.934847535759446
GEDIT-LM22	0.914306395570436	0.937333730587908	0.956487545067852	0.986661108343573	0.988888374687141	0.999152436331249	0.969467854060846
