AllCells	B Cells	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	-0.157098868856296	-0.567286492425871	0.342362022629897	-0.817039984026634	-0.0797055908809974	-0.249503304484762
Cibersort-HPCA	0.65353614389269	-0.38821530423553	0.960565559506067	NA	NA	0.406997502312053
Cibersort-ImmunoStates	0.722758927926023	-0.0750810387077857	0.880113289690472	0.751319089069221	-0.64763643673397	-0.152448438412592
Cibersort-LM22	0.68910706995772	-0.363802504482183	0.846989575149513	-0.502818972292801	-0.12129798129735	0.412586827357496
Decon-BLUEPRINT	-0.195779298177357	-0.68120056228312	-0.566592989800858	-0.987974427714949	0.915681363252173	0.0274959464727777
Decon-HPCA	-0.0769460080463996	0.778625441851315	-0.898119640526838	-0.988967515812897	-0.784490569434847	0.791559682926472
Decon-ImmunoStates	0.309217581347279	-0.66358160705753	0.953171721718196	0.625378951619832	-0.765909719236608	0.123517919308268
Decon-LM22	0.818454153927392	-0.133257728362616	0.989770088998478	0.412887029231495	0.154700317502739	0.410183520050107
dtangle-BLUEPRINT	0.188409182885738	-0.816384398600567	0.944631737185417	-0.00117231893842192	0.225433133376079	0.523142462225966
dtangle-HPCA	0.381941190284497	-0.837289927703105	0.967855617445892	0.0161323301239322	-0.488209170596893	0.492713595581164
dtangle-ImmunoStates	0.673748317670522	-0.875731888093099	0.965406153613662	0.440497670338772	-0.275766942069833	0.337441689386874
dtangle-LM22	0.688649953647283	-0.804584379297135	0.866242968600926	-0.174068284117525	0.134364909732749	0.40276587835761
GEDIT-BLUEPRINT	0.137483577351076	-0.883393903706592	0.796157030370948	0.922774567987716	0.462838450780661	0.194435660102481
GEDIT-HPCA	0.827780918800083	-0.797606435016914	0.990820639114758	0.779131240666759	0.104260835308924	0.342564042792482
GEDIT-ImmunoStates	0.816185290571826	-0.799874741450025	0.9722411891601	0.638836698334029	-0.0442450809717993	0.201589221904903
GEDIT-LM22	0.714007780319572	-0.0763172294146424	0.942071419762596	0.587873664848657	-0.0621314834011974	0.797071462624613
xCell-default	0.722935378388137	0.997149812619179	0.911844407078328	0.233022017962742	NA	-0.828097965087621
