	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.41789	0.05086	0.0	0.0	0.53125	0.0
B	0.41725	0.04289	0.0	0.0	0.53986	0.0
C	0.42051	0.0	0.0	0.0	0.57949	0.0
D	0.42233	0.0	0.0	0.0	0.57767	0.0
E	0.4203	0.0	0.0	0.0	0.5797	0.0
F	0.41862	0.02126	0.0	0.0	0.56011	0.0
G	0.42021	0.08519	0.0	0.0	0.4946	0.0
H	0.41947	0.09525	0.0	0.0	0.48527	0.0
I	0.42106	0.0947	0.0	0.0	0.48424	0.0
J	0.42305	0.0	0.0	0.0	0.57695	0.0
K	0.4231	0.0	0.0	0.0	0.5769	0.0
L	0.42198	0.0	0.0	0.0	0.57802	0.0
