	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.0	0.0	0.17498	0.38225	0.09062	0.0
B	0.0	0.0	0.17469	0.38315	0.09323	0.0
C	0.0	0.0	0.16851	0.34062	0.22962	0.0
D	0.0	0.0	0.16495	0.33943	0.23183	0.0
E	0.0	0.0	0.21082	0.35455	0.15884	0.0
F	0.0	0.0	0.28499	0.37298	0.04309	0.0
G	0.0	0.0	0.13767	0.43424	0.05874	0.0
H	0.0	0.01387	0.13232	0.39942	0.02597	0.0
I	0.0	0.01539	0.13173	0.39912	0.02361	0.0
J	0.0	0.0	0.1684	0.31874	0.25878	0.0
K	0.0	0.0	0.23472	0.31609	0.19888	0.0
L	0.0	0.0	0.16585	0.33248	0.22708	0.0
