	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.1034	0.2807	0.071	0.0	0.2225	0.0545
B	0.1169	0.2907	0.0747	0.0	0.188	0.0856
C	0.0108	0.0468	0.0267	0.0	0.605	0.1061
D	0.0	0.0533	0.0227	0.0	0.6122	0.0849
E	0.0349	0.0827	0.1406	0.0	0.1675	0.3482
F	0.0638	0.1722	0.4106	0.0	0.0	0.1394
G	0.0829	0.3432	0.0	0.1981	0.0892	0.0
H	0.045	0.58	0.0	0.0	0.0639	0.0
I	0.0648	0.5805	0.0	0.0	0.0532	0.0
J	0.0223	0.0079	0.0	0.0	0.7439	0.0
K	0.0607	0.0323	0.1105	0.0	0.2214	0.3811
L	0.0058	0.0151	0.0	0.0	0.7383	0.0
