	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.11737	0.10095	0.15658	0.05804	0.11259	0.02372
B	0.11656	0.10196	0.15508	0.05782	0.11113	0.02371
C	0.10654	0.08785	0.15776	0.05449	0.13018	0.02455
D	0.10801	0.08823	0.15613	0.05173	0.12765	0.02436
E	0.10387	0.09161	0.17113	0.05558	0.11778	0.02711
F	0.10928	0.09933	0.18583	0.0599	0.09412	0.0246
G	0.11647	0.10825	0.13589	0.07232	0.10228	0.02047
H	0.11784	0.1187	0.14354	0.04689	0.1041	0.02099
I	0.11452	0.11685	0.13647	0.05149	0.10161	0.02069
J	0.11531	0.07349	0.13654	0.03829	0.13933	0.01779
K	0.11025	0.06028	0.18445	0.0459	0.12892	0.02963
L	0.09224	0.0891	0.12649	0.05368	0.13578	0.0192
