	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.27267	0.08473	0.12466	0.05181	0.29228	0.17384
B	0.2721	0.08497	0.12476	0.05238	0.29288	0.17292
C	0.25743	0.07126	0.12144	0.0483	0.31929	0.18228
D	0.25591	0.07126	0.12162	0.0479	0.32092	0.18239
E	0.25707	0.07622	0.12856	0.04956	0.30079	0.1878
F	0.26374	0.08141	0.14346	0.05201	0.2823	0.17709
G	0.27945	0.0896	0.12066	0.05938	0.28472	0.16619
H	0.28025	0.097	0.11565	0.05598	0.28732	0.16379
I	0.28112	0.09722	0.11604	0.0558	0.28557	0.16426
J	0.2587	0.06541	0.11631	0.04659	0.32896	0.18404
K	0.257	0.06405	0.12642	0.04625	0.31004	0.19624
L	0.25253	0.0702	0.11688	0.04867	0.32954	0.18219
